#{"t_start": 1765373842.601711, "env_id": "None"}
r,l,t
-74.666902,3,0.574278
-96.148812,6,0.608362
-74.849258,3,0.626412
-74.738532,3,0.646125
-84.090405,4,0.666665
-80.935043,4,0.690978
-74.317429,3,0.711778
-73.488866,3,0.739721
-83.350395,4,0.781015
-81.245877,4,0.805746
-71.391329,3,0.823368
-74.664145,3,0.840099
-74.856082,3,0.858691
-107.051273,8,0.908072
-96.855025,6,1.066698
-82.894321,4,1.089468
-82.920469,4,1.110249
-74.735501,3,1.127309
-74.856078,3,1.144048
-80.940273,4,1.16537
-74.737706,3,1.182489
-77.390768,4,1.204896
-74.282423,3,1.221371
-83.886693,4,1.243127
-74.852768,3,1.259802
-70.762751,3,1.276591
-82.31191,4,1.298964
-76.07319,4,1.321139
-87.119398,5,1.348635
-74.854832,3,1.365765
-98.27813,6,1.400318
-74.289969,3,1.417831
-87.775401,5,1.44651
-83.087187,4,1.468246
-84.615031,4,1.488052
-74.862262,3,1.505359
-81.043783,4,1.526584
-91.114246,6,1.559545
-90.483733,6,1.592451
-74.851696,3,1.610244
-74.293708,3,1.626697
-74.841812,3,1.641964
-74.660434,3,1.659514
-72.145873,4,1.679417
-91.344593,6,1.712747
-74.690091,3,1.729749
-71.557203,3,1.746902
-83.935521,5,1.7875
-73.660075,3,1.803137
-74.708849,3,1.818732
-83.058127,4,1.841692
-87.283817,5,1.869732
-76.845212,4,1.891002
-74.851504,3,1.906926
-74.701691,3,1.923484
-96.349506,6,1.955349
-81.093277,4,1.976867
