#{"t_start": 1765376885.145493, "env_id": "None"}
r,l,t
31.659814,15,0.581826
8.808396,15,0.667089
-150.174525,8,0.71055
-63.039498,10,0.767005
-16.985282,13,0.83918
-65.145197,7,0.878568
5.160634,15,0.962843
-98.250194,10,1.019528
-16.954967,12,1.087209
-27.262027,6,1.121317
-21.005274,10,1.177666
-125.680362,13,1.25079
-2.61096,14,1.32987
-64.514012,15,1.413386
-22.841534,7,1.452198
18.545838,15,1.534597
-103.318766,15,1.617817
-30.374547,15,1.701324
-31.060608,13,2.122656
-37.740336,11,2.183659
-47.729016,6,2.217304
-32.566308,6,2.250829
-31.103071,4,2.273508
-78.581524,8,2.318898
-20.703465,7,2.357928
-54.315623,10,2.413258
-6.42305,14,2.490032
-69.693042,9,2.539354
-40.966469,15,2.622359
-27.690687,8,2.666304
-73.087459,8,2.71279
-89.657368,8,2.758248
-20.223224,13,2.831318
-24.401759,8,2.875884
-45.189561,14,2.955149
-82.910962,11,3.016775
20.801901,15,3.100202
-49.931611,14,3.179876
-43.078766,5,3.208345
10.377564,15,3.292816
25.808442,15,3.67914
-2.379245,10,3.734001
-69.928172,6,3.768909
15.153452,15,3.851701
24.895277,15,3.936616
-54.392747,5,3.964233
-35.027022,15,4.048236
-87.529109,11,4.1096
-68.181591,13,4.181937
2.663456,15,4.265347
-55.507397,5,4.293316
-0.375152,15,4.375715
-52.066321,13,4.447521
-36.712359,10,4.50314
-1.610369,13,4.574647
-51.01627,14,4.651808
-108.590469,9,4.702161
-48.146135,8,4.746508
-38.019897,15,4.831937
39.569091,15,4.916444
-53.747651,11,5.27837
-11.289547,12,5.344427
24.965628,15,5.42908
-77.066345,15,5.512725
-34.404648,9,5.5623
18.591314,15,5.646076
-16.486154,15,5.729593
-42.199368,7,5.768861
-11.379374,15,5.852148
1.409835,15,5.935865
26.263183,15,6.018749
-34.867445,11,6.079616
7.634678,15,6.162552
-22.945822,7,6.201212
-46.571374,7,6.24085
29.08822,15,6.325653
-39.326713,7,6.365922
-12.869107,11,6.427672
20.478747,15,6.8114
-11.312622,13,6.884341
-7.510334,15,6.968688
-59.673598,7,7.007349
-56.082839,11,7.068486
-34.521929,15,7.153296
-42.338401,9,7.203983
-7.235373,15,7.288642
-46.21938,10,7.349669
-50.25715,7,7.388295
-5.859495,9,7.438801
46.300206,15,7.522789
-11.36308,15,7.60644
-10.843783,12,7.671864
-51.524941,6,7.705609
23.119533,15,7.78849
-8.950202,14,7.86627
-43.473507,15,7.948864
-8.379853,7,7.988399
18.634488,15,8.371766
-20.872832,12,8.437353
-58.612409,5,8.464463
6.851668,15,8.548026
-31.026738,15,8.630669
-72.911103,8,8.674851
-63.07668,9,8.725058
-0.577691,15,8.80882
20.392719,15,8.891503
-50.726767,12,8.957907
-42.260936,15,9.041292
-46.03999,7,9.080306
-27.195288,9,9.130077
-23.011898,12,9.196611
25.042419,15,9.279109
-38.087541,10,9.334946
22.301135,15,9.418481
21.24593,15,9.501992
29.105413,15,9.584775
21.701716,15,9.994573
23.92039,15,10.078079
-59.141531,10,10.133218
-12.207074,15,10.216621
-20.594395,8,10.261575
-59.230819,10,10.316555
27.495681,15,10.400637
37.308882,15,10.483291
15.58163,15,10.565755
-15.909118,8,10.610484
24.86057,15,10.693272
-21.029706,14,10.770505
-18.206505,6,10.80379
23.754976,15,10.885086
-33.044513,6,10.918067
40.95726,15,11.001121
25.225276,15,11.08267
-53.774016,11,11.143125
-33.626848,13,11.515214
36.809146,15,11.59934
-26.471414,7,11.638138
5.090846,15,11.72289
-26.259783,15,11.807284
34.13806,15,11.892063
29.515726,15,11.977477
14.740418,15,12.061966
-39.456081,14,12.141352
-30.463505,6,12.175595
30.099202,15,12.261138
14.623865,15,12.345644
-30.740402,11,12.408494
17.457549,15,12.493516
23.839107,15,12.578129
-17.044965,9,12.629638
-56.729232,11,12.691949
7.08476,15,13.080021
38.937167,15,13.164659
-4.209403,15,13.249751
-10.856323,9,13.301098
9.171139,15,13.385447
1.469319,15,13.469031
8.031225,11,13.531496
25.302734,15,13.615903
35.194992,15,13.699937
-13.774507,12,13.767595
37.270483,15,13.851752
-24.189094,14,13.930408
46.182702,15,14.014854
-45.944046,7,14.054459
11.436025,15,14.137711
0.911724,14,14.214923
-59.64347,8,14.260591
-9.038111,7,14.599333
-27.266806,13,14.672263
15.387707,15,14.757012
13.923905,15,14.84145
22.182759,15,14.924283
30.452769,15,15.007911
3.015243,13,15.079572
-49.55661,6,15.112748
19.008801,15,15.196517
-20.75426,10,15.252621
16.025923,14,15.330212
48.373654,15,15.414925
-13.638263,14,15.492125
-15.114404,14,15.570327
14.239006,15,15.654732
27.108888,15,15.739642
31.616479,15,15.824393
7.436022,15,16.208818
33.500682,15,16.293129
13.250701,15,16.378613
39.843465,15,16.463108
-2.541669,15,16.547812
27.026908,15,16.63277
30.131679,15,16.717139
20.951976,15,16.803094
-3.882807,13,16.876502
6.252878,13,16.950535
42.42443,15,17.035827
-2.306167,12,17.103965
34.546619,15,17.189125
-9.427976,6,17.222815
-9.317722,14,17.301129
43.161676,15,17.386889
29.059644,15,17.771532
40.165888,15,17.857889
36.648536,15,17.942167
45.81689,15,18.027202
36.883281,15,18.112211
23.426889,15,18.196859
39.72785,15,18.281699
19.382422,15,18.366483
40.141914,15,18.451368
31.62112,15,18.536177
17.489784,15,18.621171
47.870204,15,18.705763
12.5375,15,18.790242
26.091156,15,18.873162
41.874627,15,18.956496
23.687884,15,19.341231
31.483651,15,19.426275
44.150155,15,19.510658
39.28734,15,19.595253
22.241487,15,19.680257
36.628449,15,19.764157
35.401929,15,19.848561
35.611132,15,19.93278
31.362928,15,20.017504
29.537198,15,20.10159
49.58541,15,20.184918
48.4629,15,20.269062
0.095577,15,20.353797
46.23255,15,20.438224
-20.041462,10,20.494523
-17.88396,8,20.539234
35.785381,15,20.925049
50.027009,15,21.010239
26.856087,15,21.095141
41.250876,15,21.179811
38.225803,15,21.264328
41.682396,15,21.348716
13.587937,15,21.433997
32.346559,15,21.518887
37.067251,15,21.603074
37.889673,15,21.687797
34.234243,15,21.773435
50.308047,15,21.859109
50.047426,15,21.94422
29.692588,15,22.029341
8.285637,15,22.114665
39.356183,15,22.85257
43.52286,15,22.952636
34.714326,15,23.039571
48.844535,15,23.131461
38.695456,15,23.223564
31.694787,15,23.313851
39.732696,15,23.406597
42.008771,15,23.49154
25.729003,15,23.576153
38.023851,15,23.66023
37.267156,15,23.745359
9.191676,14,23.824417
30.416948,15,23.908755
42.87419,15,23.992759
39.769941,15,24.077072
38.572355,15,24.476011
49.646824,15,24.561119
37.255236,15,24.645701
29.254295,15,24.730182
39.729347,15,24.813276
44.116928,15,24.896598
37.195375,15,24.980038
-13.385199,6,25.011897
29.413605,15,25.09533
33.830071,15,25.17954
38.715806,15,25.26292
51.101961,15,25.349245
47.214073,15,25.43417
49.331067,15,25.518134
42.759876,15,25.602513
25.67654,15,25.987109
41.49813,15,26.072299
-3.711174,8,26.118332
44.374234,15,26.20313
42.922228,15,26.288063
41.472891,15,26.373129
38.448002,15,26.459039
32.032479,15,26.543549
49.063531,15,26.628145
49.088044,15,26.71324
36.806132,15,26.79837
35.015305,15,26.883373
10.311433,15,26.968401
46.762828,15,27.053775
50.013842,15,27.139425
39.30139,15,27.225462
32.532658,15,27.614198
39.269672,15,27.699846
52.686404,15,27.784748
46.83576,15,27.869572
48.317753,15,27.953607
50.774734,15,28.037032
52.625143,15,28.120892
45.500977,15,28.205523
46.119919,15,28.291161
40.629134,15,28.376952
36.672985,15,28.466386
42.491892,15,28.551879
45.96599,15,28.637064
46.163599,15,28.721458
45.424429,15,28.806012
50.770295,15,29.193791
45.625703,15,29.277921
24.920352,15,29.362042
36.900852,15,29.446448
-39.720066,7,29.485289
47.364916,15,29.568362
51.288507,15,29.651679
45.249602,15,29.735305
41.859741,15,29.819078
43.375343,15,29.903035
41.293901,15,29.986574
44.597222,15,30.07023
44.079143,15,30.153669
40.519098,15,30.237222
49.625211,15,30.320525
44.432358,15,30.707065
44.086907,15,30.792818
37.969566,15,30.877928
