#{"t_start": 1765387522.271765, "env_id": "None"}
r,l,t
-1.268336,15,0.769099
-7.488854,15,0.856227
-33.566633,5,0.883795
-9.765412,15,0.968012
-7.64788,15,1.052038
-19.411007,9,1.105891
-7.021452,13,1.233606
-59.347421,10,1.289467
-51.237353,7,1.329542
-16.642178,14,1.407399
-45.171784,8,1.451319
-39.983447,13,1.525005
-21.397062,8,1.571124
-99.533299,6,1.603786
-45.607239,13,1.676812
-95.473703,9,1.725943
-84.573609,6,1.759396
-54.407194,10,1.814337
-53.051837,12,1.880762
29.636451,15,1.966759
-44.135003,12,2.482661
6.047053,15,2.566639
40.752925,15,2.651199
-17.170961,15,2.735166
-100.573065,14,2.814188
17.838805,15,2.904873
-6.239176,15,2.989704
-22.039653,8,3.035527
-57.989872,15,3.121279
-66.83251,11,3.193082
-97.91391,12,3.262906
-59.941435,15,3.348202
22.759638,15,3.433292
-87.599155,7,3.473007
-38.814723,13,3.548946
-5.597162,14,3.632866
-15.298327,14,3.719363
-51.406763,12,4.175661
-55.609819,10,4.238029
-22.723057,13,4.321999
-71.13277,9,4.398404
18.652648,15,4.503909
-51.754043,6,4.539855
-60.847654,8,4.587403
3.628542,15,4.681838
-31.176873,8,4.728273
28.92543,15,4.814878
-23.634685,15,4.903706
-89.353895,14,4.987858
25.290267,15,5.083892
11.039427,15,5.179061
1.470878,15,5.271213
-110.222587,9,5.326066
-24.261653,13,5.401772
31.698644,15,5.503793
-33.761857,10,5.56409
-4.188601,9,5.927056
-45.290483,11,5.987254
-83.031711,7,6.029619
18.424553,15,6.11607
10.777293,15,6.200715
-35.79261,12,6.268964
28.230696,15,6.356058
-40.789483,11,6.420432
-47.870112,13,6.494365
-23.475567,15,6.586185
-43.845599,12,6.652576
-15.226379,9,6.702763
-22.141556,11,6.764353
16.671414,15,6.852562
-50.709845,14,6.934099
-50.950118,14,7.01206
26.512642,15,7.101451
16.475899,15,7.511608
43.017348,15,7.597069
24.346759,15,7.686056
-22.409756,9,7.736968
-53.339854,5,7.76611
-18.762365,7,7.805068
11.152584,15,7.890278
-37.415709,7,7.932983
-14.365904,15,8.021432
-26.861942,13,8.097196
37.37656,15,8.182478
17.440822,15,8.267376
-12.968225,8,8.315505
-46.258991,9,8.366398
-77.903298,11,8.428525
8.293016,15,8.514874
37.937097,15,8.598223
-97.791915,12,8.664589
-71.859622,13,8.736358
-11.39179,14,9.131129
5.681807,15,9.216402
-44.688695,15,9.303388
-44.414811,9,9.354776
24.74073,15,9.438437
-42.441467,7,9.477702
-2.654769,14,9.555564
-43.747419,8,9.600678
-16.238314,7,9.640376
-4.300936,15,9.725057
-77.617797,9,9.776624
-74.909597,13,9.850346
-72.267453,12,9.918181
-5.845058,13,9.991844
17.143568,15,10.075939
-34.926287,7,10.116757
-17.315342,8,10.162521
-23.865056,8,10.207435
-8.458751,9,10.258249
28.871456,15,10.344592
-41.011683,9,10.703418
-20.050294,15,10.788348
-55.471222,6,10.82173
-35.766766,15,10.90665
-18.572634,12,10.975339
-30.018429,8,11.019866
43.33524,15,11.107144
42.937117,15,11.193673
14.961952,15,11.27818
-60.282908,9,11.329148
-59.377364,15,11.416719
-49.911164,12,11.482915
-34.430072,7,11.52268
-23.063059,12,11.589148
-23.289666,11,11.652607
-27.490645,11,11.715851
36.79176,15,11.799353
20.288873,15,11.88265
-27.478688,12,11.949245
10.13652,15,12.347723
38.415816,15,12.431105
18.227605,15,12.516061
25.482326,15,12.601015
9.776798,15,12.685036
-30.959272,10,12.739587
-26.322056,7,12.778371
27.43094,15,12.863783
-23.539949,11,12.925322
25.573993,15,13.008644
11.063163,15,13.092273
-22.176545,13,13.164702
22.83146,15,13.248934
-0.446095,15,13.331658
27.771248,15,13.415952
10.642235,15,13.500172
48.179016,15,13.889957
-35.220885,10,13.946788
29.890656,15,14.031753
-6.327909,10,14.089786
-2.750588,11,14.152102
-20.46202,11,14.214172
-25.975928,14,14.294599
29.357292,15,14.382753
39.118008,15,14.470345
23.294664,15,14.557239
12.41772,14,14.639338
-39.504278,7,14.680896
21.053009,15,14.770248
-11.197517,15,14.857596
-40.185332,7,14.897742
-37.464654,12,14.966874
37.524751,15,15.05542
50.341071,15,15.452451
21.028991,15,15.539897
-14.784913,15,15.625727
20.69831,15,15.711292
24.523608,15,15.797639
0.159174,15,15.883943
-10.740925,15,15.970046
-42.243497,8,16.016046
-11.049362,13,16.09385
53.366877,15,16.183349
17.946466,15,16.268421
36.75245,15,16.353338
-26.246136,10,16.408823
32.704331,15,16.492739
-9.52306,11,16.554795
0.50003,15,16.639303
-38.737347,10,16.696727
28.555447,15,17.09486
50.327448,15,17.18178
41.801503,15,17.271434
42.216806,15,17.358551
6.012596,15,17.448355
5.764504,15,17.535841
-3.146852,14,17.678742
29.693043,15,17.773627
-29.835821,9,17.82824
48.190695,15,17.916621
-3.569226,11,17.982152
27.959769,15,18.081877
32.869978,15,18.176217
24.616096,15,18.270488
28.636773,15,18.367503
47.822267,15,18.463642
47.884247,15,18.864531
30.423007,15,18.951961
46.019982,15,19.037856
25.739914,15,19.125537
34.465355,15,19.213884
37.487096,15,19.301189
35.074014,15,19.386726
-13.142517,11,19.450027
46.995397,15,19.536511
35.273415,15,19.621836
41.414878,15,19.707626
30.583212,15,19.794441
37.075611,15,19.880763
-1.032379,13,19.955328
17.890364,15,20.042937
34.420783,15,20.437946
8.613487,15,20.525775
33.177845,15,20.657643
34.462073,15,20.816599
22.340027,15,20.963226
37.673891,15,21.08541
-14.311296,7,21.130237
41.697688,15,21.247407
16.374499,15,21.344312
40.170597,15,21.429999
38.565454,15,21.517419
22.140333,15,21.605496
26.609434,15,21.699557
24.499251,15,21.7854
40.592616,15,21.875254
42.352588,15,21.963738
38.828372,15,22.371752
46.591529,15,22.457688
34.216915,15,22.547444
42.373193,15,22.632939
32.02569,15,22.719206
42.217074,15,22.840119
38.057475,15,22.927163
19.675276,15,23.011931
49.907565,15,23.099304
32.400564,15,23.185422
44.864048,15,23.270207
32.976838,15,23.354861
37.762798,15,23.440346
46.147733,15,23.5255
46.31758,15,23.61028
34.018418,15,23.999301
43.52193,15,24.085345
40.612296,15,24.171621
50.688137,15,24.257461
36.373489,15,24.342814
44.553026,15,24.429111
32.507547,15,24.514718
34.996123,15,24.600822
40.778289,15,24.686374
48.620364,15,24.772103
43.817618,15,24.857543
35.448174,15,24.943609
46.788738,15,25.029588
48.217204,15,25.115718
32.3034,15,25.202515
43.627612,15,25.590825
20.241904,15,25.676855
39.76007,15,25.762392
37.304822,15,25.847199
25.192378,15,25.932932
31.214444,15,26.017238
41.795517,15,26.102932
36.517938,15,26.188687
43.040083,15,26.274756
38.611204,15,26.360668
38.717849,15,26.446319
25.586836,15,26.531255
36.373684,15,26.616387
49.776399,15,26.705279
51.391287,15,26.789241
38.310972,15,27.19109
47.913692,15,27.276523
43.540691,15,27.362085
46.227476,15,27.448082
30.729946,15,27.53347
31.69907,15,27.617923
