#{"t_start": 1765381089.394346, "env_id": "None"}
r,l,t
15.543227,15,0.689564
-50.038986,8,0.734241
-53.31639,12,0.802985
-36.803349,15,0.888743
-18.250502,7,0.930241
-39.728983,9,0.98297
-70.32968,5,1.013275
-41.48976,11,1.075218
-45.451788,7,1.113793
-35.435013,4,1.137584
-104.60726,8,1.182713
-108.755611,15,1.267418
-41.39379,6,1.303031
-46.324039,12,1.389869
-26.339799,12,1.45875
-52.527941,15,1.544821
-27.164834,15,1.633376
-63.480929,6,1.666909
-54.887525,15,1.751501
15.008158,15,1.836288
-47.597319,10,1.893322
-48.209353,9,2.321626
-69.839513,8,2.366748
-51.726529,5,2.394159
-54.015488,10,2.449238
-6.861008,15,2.53212
-35.54237,7,2.570261
-44.100297,9,2.620469
-10.860452,11,2.684661
21.255633,15,2.769073
-14.519954,7,2.808243
20.284227,15,2.891049
4.415958,15,2.977362
-65.700756,11,3.044313
-47.015437,14,3.121365
-129.891197,10,3.178611
-40.405519,7,3.217599
-25.433198,15,3.306949
28.898407,15,3.393998
-42.737533,11,3.460173
-46.718931,8,3.505128
-35.231378,6,3.544991
1.824643,15,3.955424
-26.929961,5,3.983481
-34.462904,9,4.036655
30.387357,15,4.125658
21.140237,15,4.213143
-93.855507,9,4.263987
-56.243601,13,4.338514
-23.683081,10,4.402109
-27.797831,7,4.44244
5.438108,15,4.526552
-45.164302,13,4.601385
-36.459487,12,4.672903
-108.772297,10,4.730119
-96.745368,12,4.797601
-18.990456,6,4.832413
-37.608412,13,4.904169
-65.652059,10,4.958976
-20.139445,15,5.045058
-92.09032,10,5.10102
28.929331,15,5.187732
38.005497,15,5.575329
36.434741,15,5.670723
18.639163,15,5.758226
-41.988809,14,5.851969
3.467049,13,5.927698
9.075411,15,6.016251
-32.136092,12,6.089333
-9.865065,9,6.144341
-49.173094,7,6.187563
35.265483,15,6.276589
-19.836431,5,6.306839
15.609775,15,6.39712
-69.440599,10,6.458155
-100.471403,9,6.514821
38.822989,15,6.610445
-40.084136,9,6.662497
29.456468,15,6.747639
-34.737566,11,6.819707
29.153473,15,7.218462
-30.372063,7,7.257383
-13.85777,11,7.319211
-27.806112,11,7.383296
-23.749404,7,7.424044
-32.602687,5,7.453652
-42.090657,11,7.515448
-0.812916,12,7.607468
30.283293,15,7.694259
-31.460021,9,7.745871
-81.182242,10,7.802815
-9.628563,10,7.859429
32.303729,15,7.952179
15.688675,15,8.038603
-29.156932,7,8.077944
17.441265,15,8.16769
-42.219576,15,8.252602
-1.848487,11,8.319625
-86.472821,14,8.415065
-24.538335,8,8.463082
-15.226513,8,8.511941
11.53524,15,8.906505
-21.09629,9,8.959154
24.464077,15,9.043651
32.381034,15,9.132161
-40.998869,10,9.193665
0.600301,15,9.280352
-43.258097,7,9.319532
-64.216442,10,9.376174
-49.730247,9,9.430971
43.724202,15,9.518456
13.918907,15,9.60314
33.784711,15,9.689081
8.070588,15,9.776939
45.55297,15,9.865826
-72.929819,13,9.938793
-20.48614,8,9.986319
-14.588109,10,10.048028
-15.1337,10,10.106051
-14.071581,7,10.462483
46.287591,15,10.548573
33.122361,15,10.636291
18.023651,15,10.722184
37.840001,15,10.809171
1.07064,15,10.896114
39.991125,15,10.983428
-15.84204,7,11.0245
-38.760047,8,11.070539
-33.955249,6,11.105384
32.249662,15,11.192939
-0.748122,13,11.268167
45.290122,15,11.354722
-27.520978,13,11.429899
-1.422725,13,11.503347
-28.17002,10,11.560289
-16.297258,9,11.612048
-64.122967,7,11.651464
49.439814,15,11.735855
-24.73908,15,12.119434
31.949287,15,12.206579
32.091911,15,12.293808
36.143767,15,12.382486
25.467519,15,12.469261
40.586988,15,12.55571
19.81,15,12.649981
-4.822765,12,12.719673
-26.258251,15,12.805594
16.427772,15,12.889812
-14.286947,8,12.934484
37.159769,15,13.018893
-44.544012,9,13.071493
24.141231,15,13.158071
31.256634,15,13.245751
37.527303,15,13.334175
21.416983,15,13.713023
43.521308,15,13.798984
33.350345,15,13.884186
-25.232449,8,13.928741
-24.851315,15,14.020593
-30.610068,5,14.048216
8.036025,15,14.133719
-14.356479,13,14.207897
12.929155,15,14.292576
21.013968,15,14.376954
5.508951,11,14.443353
41.805378,15,14.531691
28.463968,15,14.616282
-16.613647,13,14.688595
8.607504,13,14.76241
-0.346587,15,14.849235
-18.570575,7,14.888754
27.189994,15,15.270863
48.013442,15,15.357796
-17.592327,8,15.403317
-27.35801,11,15.464946
51.000136,15,15.550277
-25.262453,6,15.584297
-16.933466,13,15.657503
30.235098,15,15.741753
18.432936,15,15.825805
33.238552,15,15.910419
7.750716,15,15.997178
22.430092,15,16.08186
19.396705,15,16.166641
32.045233,15,16.254263
-25.936653,7,16.29379
31.853787,15,16.380131
40.261881,15,16.468185
-5.154113,15,16.85781
40.004692,15,16.942992
-4.871717,8,16.98733
33.850875,15,17.072617
-5.147926,13,17.148029
26.145255,15,17.23459
-11.479397,15,17.318394
27.559612,15,17.402589
44.351074,15,17.485541
45.054101,15,17.574553
-14.33317,11,17.636548
-11.718307,9,17.687068
3.445957,15,17.774217
47.880271,15,17.860633
26.985749,15,17.947447
40.427515,15,18.037627
32.015037,15,18.431765
34.703204,15,18.517952
-10.148383,14,18.596973
-17.354739,7,18.637525
29.567338,15,18.722733
30.090891,15,18.807161
52.554614,15,18.892015
23.343052,15,18.977245
24.305708,15,19.062505
35.109713,15,19.149037
46.006044,15,19.235218
23.388833,15,19.321718
47.232381,15,19.407926
27.431231,15,19.493103
32.408736,15,19.580199
30.879096,15,19.665368
38.055078,15,20.051578
45.287762,15,20.140642
45.35091,15,20.227738
38.383844,15,20.314657
47.358474,15,20.401386
41.38394,15,20.48867
-14.897155,9,20.538909
55.685435,15,20.62762
33.998772,15,20.714651
34.56902,15,20.800831
35.385767,15,20.891028
25.999434,15,20.976668
39.647603,15,21.099566
35.577736,15,21.192472
36.327397,15,21.279993
7.795926,11,21.34343
46.29945,15,21.7281
37.994757,15,21.818477
