#{"t_start": 1764869462.3700302, "env_id": "None"}
r,l,t
68.425473,9,0.631336
-7.927184,6,0.636989
370.73134,15,0.651651
90.809277,10,0.66159
-54.976095,4,0.665363
-56.676228,4,0.669037
38.797901,8,0.676453
-30.423311,5,0.68119
-54.180458,4,0.685166
-55.237564,4,0.688754
-9.243586,6,0.694056
16.120295,7,0.700266
-31.919215,5,0.70476
20.57975,7,0.711502
-5.650627,6,0.717365
-29.457475,5,0.722128
68.821908,9,0.730807
-54.735191,4,0.734832
90.497073,10,0.744035
-54.08886,4,0.747857
-54.392151,4,0.751752
-29.98598,5,0.756076
-31.570942,5,0.760285
-6.979981,6,0.765447
-33.859004,5,0.76972
-32.003095,5,0.774231
-4.61506,6,0.780294
-4.792207,6,0.785956
67.744915,9,0.794226
-54.733131,4,0.797937
-35.526719,5,0.802265
-31.411231,5,0.806749
43.527832,8,0.814129
-5.511648,6,0.819773
44.527726,8,0.827401
-30.502219,5,0.832121
-57.952289,4,0.835685
-30.532437,5,0.840391
-54.406132,4,0.844343
-54.457275,4,0.84814
-54.37013,4,0.851924
-54.488954,4,0.855872
-54.42137,4,0.859771
-7.69052,6,0.865014
-32.565147,5,0.86937
-53.752297,4,0.873201
-30.210379,5,0.877833
-54.827209,4,0.881814
-29.014825,5,0.886668
-30.698928,5,0.891274
-5.485964,6,0.896954
19.517615,7,0.903361
-55.826106,4,0.907858
-53.733282,4,0.911741
-6.931844,6,0.91721
-7.716867,6,0.922509
-5.127079,6,0.928264
-53.94185,4,0.932025
-7.766572,6,0.93735
-31.184085,5,0.942064
-4.645883,6,0.948037
45.309536,8,0.955877
-54.715017,4,0.959591
-54.603886,4,0.964131
-54.314082,4,0.967867
-54.455309,4,0.971874
-54.912948,4,0.97557
-30.48629,5,0.980226
-29.111637,5,0.985499
43.464542,8,0.993399
-55.478677,4,0.997084
-55.717203,4,1.000628
-54.058786,4,1.004701
-11.23735,6,1.009717
-56.521251,4,1.013189
-31.124058,5,1.017748
-54.00105,4,1.021635
65.934218,9,1.029329
-32.154157,5,1.033802
64.252321,9,1.042128
-35.065597,5,1.046509
-55.939503,4,1.050176
-29.235384,5,1.054914
-54.319799,4,1.058546
-53.696278,4,1.064071
-32.115498,5,1.06872
-54.067545,4,1.072791
-30.323892,5,1.07747
-32.265239,5,1.081876
16.535897,7,1.088035
-56.356487,4,1.091692
-55.102016,4,1.095518
-30.374244,5,1.100277
-30.157991,5,1.105362
-56.861961,4,1.109051
-77.960888,3,1.112648
-54.212729,4,1.116528
19.417704,7,1.123524
-54.684698,4,1.127742
44.609059,8,1.135252
-54.611292,4,1.139035
18.132051,7,1.145434
-29.823938,5,1.15038
-31.762576,5,1.155091
-54.401755,4,1.158941
19.367395,7,1.165757
-35.24803,5,1.170236
-6.533272,6,1.176164
43.306626,8,1.191401
68.336514,9,1.200137
-6.439011,6,1.208324
-31.425164,5,1.213028
-54.78934,4,1.216893
19.166166,7,1.223545
41.971795,8,1.230763
40.151812,8,1.237987
-31.548075,5,1.242459
-53.623367,4,1.246313
-54.509144,4,1.250107
-11.586583,6,1.255288
-5.273994,6,1.260939
-53.651815,4,1.264792
114.092906,11,1.274833
16.81615,7,1.280949
-55.032725,4,1.28475
-30.613475,5,1.289289
-30.314185,5,1.293796
41.66945,8,1.300766
-31.372116,5,1.30532
-31.145315,5,1.309907
116.305784,11,1.320038
-29.158305,5,1.324791
-53.120453,4,1.328835
-29.763845,5,1.33368
-29.996302,5,1.338411
-30.979525,5,1.343014
-57.615902,4,1.346585
-6.998188,6,1.352016
68.500291,9,1.360409
-54.865187,4,1.364015
-34.064362,5,1.368332
-3.998801,6,1.374066
-54.42568,4,1.377831
-30.473396,5,1.382372
70.156993,9,1.390949
-29.862044,5,1.395819
-30.212386,5,1.400775
-53.849086,4,1.40461
41.407469,8,1.411714
92.852648,10,1.420926
-54.997088,4,1.424673
-53.91032,4,1.428442
-53.98637,4,1.432305
-31.51164,5,1.436841
18.864474,7,1.443477
-31.087629,5,1.44793
45.211386,8,1.455611
18.459668,7,1.462114
-54.651353,4,1.465902
-54.258953,4,1.469774
-28.728199,5,1.474832
-54.883799,4,1.478588
-6.402149,6,1.484209
18.528659,7,1.491272
-55.02641,4,1.495147
-4.596441,6,1.501201
-55.141727,4,1.505111
-29.517174,5,1.511376
-54.443739,4,1.515398
-30.8241,5,1.520134
161.358224,13,1.532204
43.85605,8,1.539891
42.741526,8,1.54749
-56.013729,4,1.551098
-54.815738,4,1.554822
42.773086,8,1.562151
-31.095216,5,1.566822
-55.393075,4,1.57047
-29.871783,5,1.575278
42.996356,8,1.582695
-54.029088,4,1.586653
18.640262,7,1.592931
-9.913181,6,1.598369
-77.442574,3,1.601527
19.101379,7,1.608284
-29.56547,5,1.613084
-6.014356,6,1.618833
-54.183162,4,1.622922
37.240173,8,1.630189
-7.809202,6,1.635685
-53.784821,4,1.639654
90.845859,10,1.648845
-4.827423,6,1.654494
18.417111,7,1.660751
-30.357021,5,1.66545
-54.645731,4,1.669438
19.116044,7,1.676323
20.198293,7,1.683068
18.991194,7,1.690363
-32.371062,5,1.694978
-78.080378,3,1.698168
-32.164979,5,1.702741
19.190112,7,1.709817
-7.197258,6,1.722367
-28.735791,5,1.728187
91.189069,10,1.737572
-56.470155,4,1.741278
-7.731534,6,1.746615
-30.06686,5,1.75145
-28.928246,5,1.756412
-28.568959,5,1.761354
11.798379,7,1.767555
-55.250209,4,1.7713
43.458411,8,1.778527
-29.642036,5,1.783313
-55.038682,4,1.787216
-4.045253,6,1.793038
-54.600675,4,1.796832
-29.612236,5,1.801558
16.831926,7,1.807898
-53.611832,4,1.811911
-31.395974,5,1.816523
-29.81885,5,1.821371
14.600274,7,1.827574
43.970864,8,1.837554
-5.778658,6,1.843003
-31.761061,5,1.847492
-78.039024,3,1.850541
-54.4765,4,1.854337
117.848744,11,1.864668
-55.334131,4,1.868564
-5.332361,6,1.874554
-53.964855,4,1.878457
-55.244448,4,1.882328
-31.763995,5,1.886889
-55.1335,4,1.890658
-55.113555,4,1.89449
-53.059725,4,1.898464
19.1587,7,1.90512
-56.980081,4,1.908574
-53.476111,4,1.912608
118.825396,11,1.923022
-53.682163,4,1.927085
116.510803,11,1.93723
-30.632508,5,1.941915
-58.18725,4,1.94532
-55.055445,4,1.949187
-54.790017,4,1.956407
-5.104173,6,1.962125
-4.398507,6,1.968029
191.974846,14,1.981256
18.779385,7,1.987791
-53.913116,4,1.991776
18.407059,7,1.998315
-31.0237,5,2.002967
-31.175374,5,2.007385
-31.263627,5,2.01199
-55.749566,4,2.015736
-54.642415,4,2.01994
67.356022,9,2.028791
-54.04048,4,2.032955
-30.092242,5,2.037949
-56.860585,4,2.041743
-5.263975,6,2.047334
-53.20685,4,2.051356
65.271453,9,2.059484
43.145874,8,2.067015
-5.608396,6,2.072555
42.269724,8,2.080038
-54.818954,4,2.08378
-5.672278,6,2.089673
15.053996,7,2.095851
17.099386,7,2.102068
66.876353,9,2.110222
68.206203,9,2.118608
-55.821169,4,2.122187
42.958868,8,2.129556
-32.257216,5,2.134009
-54.407194,4,2.137844
-77.379789,3,2.140922
-4.89107,6,2.146604
42.296154,8,2.153758
-55.608649,4,2.157279
-55.710846,4,2.160977
-54.736807,4,2.164686
-54.542848,4,2.168422
-58.393599,4,2.171838
-29.041802,5,2.176642
-55.151162,4,2.180465
-55.957977,4,2.183963
-54.426446,4,2.187777
-6.398366,6,2.193206
20.492166,7,2.199926
-7.488634,6,2.205269
-55.069705,4,2.209025
-5.743591,6,2.214565
-7.169636,6,2.220026
-4.408825,6,2.22575
-54.825398,4,2.229677
44.350342,8,2.237337
42.172593,8,2.244508
-30.513283,5,2.249129
-9.262571,6,2.254393
-54.332662,4,2.258102
-30.818468,5,2.262648
-29.238417,5,2.26743
-54.787588,4,2.27111
-30.463252,5,2.275752
-30.064039,5,2.280402
-54.121927,4,2.284193
-53.382537,4,2.288232
-5.691276,6,2.293837
117.835502,11,2.304005
-53.757892,4,2.307881
16.800975,7,2.314106
41.617419,8,2.321235
-29.590001,5,2.3259
15.680579,7,2.332043
-53.078537,4,2.336097
-54.405583,4,2.339961
-54.599667,4,2.343722
67.719175,9,2.352103
-30.366305,5,2.356886
17.208746,7,2.36305
-9.144405,6,2.368486
-54.962149,4,2.37229
20.125031,7,2.37901
-29.153676,5,2.383742
-54.488177,4,2.387539
-54.27555,4,2.391373
-31.496229,5,2.395847
-53.924976,4,2.399687
141.574537,12,2.410875
-6.001406,6,2.416304
-31.922394,5,2.420943
-30.919218,5,2.425417
-54.400088,4,2.429464
44.866042,8,2.437181
-30.534709,5,2.441789
-28.539559,5,2.4467
-10.603645,6,2.45204
-30.798228,5,2.456733
-30.811318,5,2.461391
-54.194696,4,2.465296
-54.61037,4,2.469348
-31.005386,5,2.473913
-30.872095,5,2.478473
-30.041115,5,2.483315
-55.637101,4,2.486919
-34.187924,5,2.491296
-29.41833,5,2.496161
-30.418817,5,2.50076
-54.368985,4,2.50472
63.977958,9,2.512733
18.033804,7,2.519094
-7.105479,6,2.524521
-32.129386,5,2.528992
-28.858349,5,2.533928
-54.420173,4,2.537828
43.535874,8,2.545096
-54.524012,4,2.548805
17.348624,7,2.555236
-5.032626,6,2.561145
-32.318425,5,2.56571
67.189727,9,2.897178
-55.10073,4,2.90103
-4.469208,6,2.907153
-29.311874,5,2.912047
