#{"t_start": 1764854029.913545, "env_id": "None"}
r,l,t
-30.633042,5,11.761244
-30.18348,5,11.766283
-54.710401,4,11.770212
-58.086267,4,11.773689
-55.149145,4,11.777603
-6.266799,6,22.759296
-6.599348,6,22.764704
-5.321799,6,22.771066
-30.269404,5,22.776045
-5.505871,6,22.781687
-35.287214,5,33.876136
-30.342268,5,33.880937
-55.014501,4,33.888116
-30.682645,5,33.892731
-30.123289,5,33.897554
16.320902,7,44.629444
43.999234,8,44.637139
43.236544,8,44.644603
-5.503442,6,44.650353
19.254522,7,44.657131
68.932684,9,55.499705
-5.686117,6,55.505255
-29.728298,5,55.510078
-6.787469,6,55.515345
-5.379524,6,55.521053
18.127617,7,67.120306
114.472515,11,67.130464
18.827144,7,67.137852
18.67105,7,67.144519
369.867546,15,67.159125
41.499009,8,78.534674
369.892286,15,78.549176
15.295793,7,78.555528
43.106679,8,78.563034
42.765418,8,78.570384
-6.150098,6,89.291862
115.405172,11,89.301943
-5.575205,6,89.307476
167.945446,13,89.319521
114.85496,11,89.329375
-4.192758,6,100.117114
18.378545,7,100.123914
17.948951,7,100.130475
89.15636,10,100.139554
43.893916,8,100.147124
369.852429,15,111.25905
370.104589,15,111.273335
18.07262,7,111.279842
370.351579,15,111.294123
369.361978,15,111.30862
369.688696,15,122.378723
19.660098,7,122.385501
-30.514443,5,122.390325
369.857183,15,122.404492
69.936351,9,122.413077
86.531031,10,134.034483
-7.886372,6,134.04053
114.605999,11,134.050884
-53.931848,4,134.054861
-8.894905,6,134.060141
18.192507,7,144.690263
12.533928,7,144.696448
-6.699088,6,144.701793
19.882646,7,144.708344
-30.529208,5,144.713029
43.322806,8,155.694617
17.272811,7,155.700974
369.583362,15,155.716526
-30.433517,5,155.721435
165.850044,13,155.733343
15.951215,7,166.943516
-5.594595,6,166.949258
-11.81209,6,166.954496
369.305742,15,166.968592
117.797718,11,166.978611
-6.112887,6,178.085691
68.147752,9,178.094184
18.125189,7,178.100666
-11.842108,6,178.105965
-6.426434,6,178.111449
