#{"t_start": 1765373842.603196, "env_id": "None"}
r,l,t
-74.276933,3,0.573745
-82.31044,4,0.595433
-87.777652,5,0.625915
-74.71531,3,0.64559
-83.825271,4,0.665527
-71.720804,3,0.684108
-74.698873,3,0.70381
-74.664177,3,0.731553
-74.701589,3,0.766246
-74.696993,3,0.786612
-82.058758,4,0.810571
-83.827316,4,0.833496
-87.193043,6,0.870601
-82.881915,4,0.895425
-74.326561,3,1.030805
-82.905971,4,1.059913
-94.060072,6,1.0934
-83.223971,4,1.114668
-74.283589,3,1.132034
-89.639184,6,1.164246
-82.900828,4,1.187018
-74.329115,3,1.204336
-71.258282,3,1.220814
-95.46261,6,1.252339
-77.733498,4,1.275464
-81.04988,4,1.297948
-82.338928,4,1.319989
-71.666601,3,1.337157
-74.291202,3,1.353348
-74.857506,3,1.370678
-74.295396,3,1.388269
-74.282426,3,1.405436
-78.265002,4,1.428324
-74.699055,3,1.445933
-85.616516,5,1.472241
-74.690832,3,1.487482
-80.981682,4,1.509522
-69.593937,3,1.526018
-74.323408,3,1.542748
-83.053391,4,1.564119
-93.699769,6,1.597237
-74.702356,3,1.615279
-83.086741,4,1.635566
-74.664516,3,1.652889
-74.278107,3,1.669408
-74.740831,3,1.684139
-79.287301,4,1.706265
-85.487907,5,1.73427
-106.805854,8,1.791298
-77.012655,4,1.811689
-74.783902,3,1.829675
-84.671131,5,1.857855
-83.757409,5,1.884849
-92.651473,6,1.917208
-93.944685,6,1.949449
-80.965646,4,1.970903
