#{"t_start": 1765387522.26914, "env_id": "None"}
r,l,t
40.620461,15,0.769079
19.88286,15,0.855456
-42.790706,9,0.908365
-23.722072,13,0.980708
-31.813634,8,1.025093
-42.094423,6,1.058173
22.591675,15,1.161306
-61.115817,12,1.267296
-42.922088,7,1.30673
-87.498392,14,1.385007
5.214734,15,1.469173
-1.907341,15,1.554671
-86.333907,13,1.627082
-39.332058,9,1.677313
-36.196372,8,1.721038
22.820689,15,1.804018
-28.715862,6,1.837524
-50.909878,15,1.919167
24.128514,15,2.026395
-42.213174,10,2.510988
-18.11984,6,2.544927
-10.705262,15,2.629825
-46.372507,5,2.657938
-60.235413,15,2.741897
-31.515984,5,2.769807
-17.564709,7,2.809154
-86.291885,7,2.85411
-32.075912,10,2.911096
-80.880391,12,2.978327
-25.712055,5,3.007177
-65.624899,10,3.064865
-14.446663,15,3.150284
-34.96525,5,3.188772
-109.632943,10,3.246653
5.59493,10,3.303204
-6.519501,11,3.36542
-84.393067,8,3.411375
-30.75978,12,3.479154
-14.65034,12,3.54944
8.103475,15,3.639425
-17.109821,14,3.740532
-17.081827,6,3.773835
44.841276,15,4.238518
-30.65293,9,4.289792
-0.652501,12,4.393373
-30.78103,15,4.494962
26.429981,15,4.587855
-25.4576,6,4.622361
-11.021281,14,4.711755
-24.610939,14,4.792244
-11.647059,15,4.878978
-48.678207,8,4.926486
-11.949969,10,4.988126
-31.371042,7,5.028009
-29.136961,9,5.090321
-16.179185,9,5.148267
-53.834837,15,5.241299
-59.773137,15,5.332799
33.054425,15,5.420497
22.817837,15,5.521925
16.075531,15,5.922159
14.78569,15,6.007067
-21.561038,10,6.064293
-16.76461,14,6.145487
-5.686419,7,6.183503
-2.738172,15,6.267843
-26.990168,14,6.350801
-13.761952,9,6.401386
26.559084,15,6.489171
0.527563,15,6.581277
22.998196,15,6.664559
-55.916798,8,6.708894
28.845708,15,6.796853
-22.224705,8,6.84127
37.91551,15,6.928703
-37.355228,7,6.968173
-53.286044,10,7.024059
-74.117871,14,7.107851
-13.220999,8,7.152444
17.696827,15,7.564076
18.234149,15,7.652409
-64.661852,10,7.708862
-51.585078,7,7.749475
-33.566583,15,7.83428
23.653563,15,7.921983
-31.115218,6,7.958775
33.14347,15,8.044297
-56.253545,10,8.103259
-22.800163,9,8.154384
13.586732,15,8.239083
-45.977192,7,8.279237
-6.137086,15,8.367173
-60.866324,7,8.405656
39.904196,15,8.492774
-9.580377,15,8.576495
-35.724724,5,8.604618
22.301153,15,8.688202
-35.606237,13,8.762058
25.193253,15,9.160945
22.223673,15,9.246171
1.115464,15,9.332846
-66.623076,8,9.378054
26.033491,15,9.461518
-25.449435,6,9.494677
-2.270871,12,9.561992
-40.109965,8,9.606512
-11.913674,9,9.657788
26.138249,15,9.743073
8.611059,15,9.828863
41.41598,15,9.912923
-57.136697,9,9.964443
-1.191098,14,10.042553
-33.335413,15,10.129419
22.912716,15,10.213929
-28.35352,9,10.266709
27.832316,15,10.3511
-25.207081,6,10.691611
-54.845797,11,10.75395
7.174014,15,10.839893
-22.019178,8,10.884615
-8.024102,15,10.969909
-39.554879,6,11.004179
-18.128824,15,11.087312
-8.34201,15,11.176768
-25.35404,8,11.222247
-7.537995,12,11.290579
-26.549729,8,11.335098
-29.021728,11,11.399771
-57.637286,7,11.439845
25.8781,15,11.523064
-28.163318,12,11.589725
-47.528221,9,11.641817
29.228467,15,11.727751
-21.700766,7,11.765525
-21.313646,15,11.85047
-38.706602,10,11.905813
39.573307,15,12.303043
-36.03389,11,12.365328
-21.249034,10,12.419798
32.051327,15,12.504432
33.069766,15,12.589068
2.824636,15,12.673148
33.18152,15,12.756676
19.241276,15,12.841951
-4.655478,15,12.925645
33.106232,15,13.008977
30.039216,15,13.092617
-50.80182,6,13.126596
37.709287,15,13.210114
25.893749,15,13.293489
-30.415338,14,13.371184
26.559244,15,13.455447
-6.943798,10,13.511995
21.117775,15,13.902065
47.623554,15,13.987333
-15.986849,15,14.073118
16.916607,15,14.158663
-18.914651,15,14.243147
-14.58676,15,14.33111
-4.914798,15,14.418502
-9.06446,15,14.505767
17.901949,15,14.592511
-1.619785,15,14.681563
25.226872,15,14.770511
-19.987829,10,14.829423
-1.295511,15,14.915775
-10.647484,8,14.961255
-30.04494,7,15.003881
45.907992,15,15.090936
33.998563,15,15.487897
-1.078693,15,15.574866
10.37182,15,15.660352
18.66426,15,15.746858
38.426824,15,15.83274
-12.099422,15,15.918627
26.455484,15,16.005008
36.041438,15,16.094533
35.333072,15,16.183213
46.138063,15,16.268624
42.104988,15,16.353654
20.972933,15,16.437232
44.056261,15,16.521301
-21.182569,10,16.57785
-16.935041,9,16.62857
37.217392,15,16.714641
44.701108,15,17.112818
17.322604,15,17.199775
24.735339,15,17.289646
39.350271,15,17.376707
22.774176,15,17.466791
23.729066,15,17.557754
16.462652,15,17.704149
38.595395,15,17.798444
36.358077,15,17.886636
29.382474,15,17.976949
41.992879,15,18.068227
-29.103055,8,18.125977
38.738282,15,18.221013
-25.683317,11,18.290175
-3.176457,10,18.351172
31.833579,15,18.450646
33.782879,15,18.853024
32.344974,15,18.940388
-2.340183,15,19.026943
33.723536,15,19.113618
40.676586,15,19.201602
49.136211,15,19.289178
26.700543,15,19.374983
33.94586,15,19.462013
29.426431,15,19.548602
49.538899,15,19.633863
-3.458848,12,19.70223
30.357676,15,19.789131
37.249008,15,19.875361
-7.388223,10,19.933649
30.635734,15,20.020227
6.253176,15,20.41489
41.061652,15,20.503177
36.75628,15,20.593114
-20.667312,6,20.696266
-10.369693,9,20.775039
35.411756,15,20.89358
42.282493,15,21.058237
34.753512,15,21.159509
31.206163,15,21.280706
39.797987,15,21.367786
-1.066725,11,21.430287
36.840822,15,21.517654
36.428406,15,21.605695
45.979951,15,21.699775
-24.226854,7,21.740823
39.823936,15,21.827197
40.194531,15,21.917694
22.030121,15,22.326855
30.504808,15,22.412887
-0.657529,12,22.487162
24.011049,15,22.571613
46.44092,15,22.6574
45.667033,15,22.74312
-14.015401,6,22.810594
46.370261,15,22.898374
50.019271,15,22.98414
25.146044,15,23.069691
47.140313,15,23.156908
47.661168,15,23.242328
54.64088,15,23.326875
38.009258,15,23.411779
26.510793,15,23.497737
48.028747,15,23.582515
41.981541,15,23.970974
30.051171,15,24.05732
46.867887,15,24.143312
26.197621,15,24.22964
-37.675599,6,24.263596
47.346488,15,24.349753
45.211722,15,24.435705
30.010422,15,24.52127
49.414955,15,24.607344
42.690968,15,24.692984
20.05765,15,24.778737
42.016026,15,24.864138
41.194855,15,24.950258
38.075782,15,25.036249
42.071557,15,25.122291
40.514436,15,25.209106
45.762621,15,25.597424
31.887197,15,25.683428
47.919087,15,25.768933
41.576002,15,25.85374
-17.049354,6,25.887052
41.254306,15,25.972304
39.170021,15,26.057395
44.879593,15,26.142789
47.245913,15,26.228811
45.719265,15,26.314979
45.17885,15,26.4006
40.276023,15,26.485941
35.142985,15,26.571224
47.821614,15,26.657022
45.426098,15,26.744268
-3.219408,11,27.121632
34.153301,15,27.209024
44.446488,15,27.294454
43.055162,15,27.380137
-5.140349,9,27.430225
33.542896,15,27.515722
-1.607982,14,27.594873
-12.934818,6,27.62981
41.569884,15,27.71433
37.956845,15,27.799535
47.67939,15,27.884619
51.344824,15,27.969596
34.854456,15,28.054195
34.122723,15,28.139017
47.826766,15,28.227056
46.544059,15,28.311879
39.527852,15,28.396539
50.23322,15,28.784293
36.574505,15,28.870138
41.723396,15,28.957585
47.843975,15,29.043626
49.345729,15,29.129781
33.197152,15,29.215603
49.450951,15,29.301367
42.695939,15,29.387175
48.447571,15,29.472397
7.980447,11,29.534919
36.799538,15,29.620489
33.17712,15,29.705711
34.767276,15,29.790962
42.50012,15,29.876754
51.175527,15,29.961781
46.773309,15,30.350384
46.096397,15,30.437349
42.907784,15,30.523657
50.032768,15,30.610564
50.439067,15,30.697247
34.388096,15,30.783317
41.145501,15,30.869955
45.525596,15,30.956445
54.485182,15,31.042318
36.906646,15,31.128498
39.126864,15,31.21467
45.688488,15,31.299595
35.253949,15,31.384055
48.110961,15,31.468713
51.390717,15,31.553852
-7.578159,7,31.894662
44.644177,15,31.979984
50.736213,15,32.065141
53.579404,15,32.154114
52.073809,15,32.240067
42.384239,15,32.326008
47.065719,15,32.411732
46.267852,15,32.498267
44.828201,15,32.584231
47.350079,15,32.670817
45.980416,15,32.756677
41.290991,15,32.842636
36.953704,15,32.929189
47.975592,15,33.015015
51.13465,15,33.100544
44.637243,15,33.493322
30.717192,15,33.582872
42.587644,15,33.668263
50.994283,15,33.754264
46.692138,15,33.839983
49.634402,15,33.925395
53.396567,15,34.011144
48.020764,15,34.096636
45.279241,15,34.181653
39.597061,15,34.267606
37.282539,15,34.353304
45.759292,15,34.438931
45.027364,15,34.524283
53.201262,15,34.609077
56.150439,15,34.694163
48.59269,15,35.0811
45.325569,15,35.167822
40.887246,15,35.254341
50.966357,15,35.340124
49.894797,15,35.427429
45.818914,15,35.514224
48.379887,15,35.600842
42.967391,15,35.688987
53.677279,15,35.775365
47.018136,15,35.861795
53.028984,15,35.948525
40.312041,15,36.03497
50.906777,15,36.121677
51.915633,15,36.21007
45.111141,15,36.296735
45.045655,15,36.68344
55.924496,15,36.77023
54.055166,15,36.85595
53.732053,15,36.941966
50.519448,15,37.027602
38.976912,15,37.115043
53.854525,15,37.201275
52.121931,15,37.287309
52.8848,15,37.373254
44.192891,15,37.458959
52.56849,15,37.54565
46.436194,15,37.631445
47.312367,15,37.717207
43.840936,15,37.802659
49.901942,15,37.888036
52.821796,15,38.314946
52.28398,15,38.404274
53.91231,15,38.507514
52.553619,15,38.591878
57.084683,15,38.67827
53.833827,15,38.762341
47.065715,15,38.846512
51.164127,15,38.930621
49.509143,15,39.015065
41.820018,15,39.099595
46.954261,15,39.184195
50.107041,15,39.268785
48.081914,15,39.352923
52.968984,15,39.437068
52.678872,15,39.520992
52.837327,15,39.909515
49.279416,15,39.995565
49.586476,15,40.081763
42.595183,15,40.167358
51.036264,15,40.25357
53.60592,15,40.338939
43.518432,15,40.424405
47.648088,15,40.509907
48.708838,15,40.595114
52.672803,15,40.680649
45.473129,15,40.769264
56.014509,15,40.876745
45.008211,15,41.047927
54.443173,15,41.135767
