#{"t_start": 1765383143.066827, "env_id": "None"}
r,l,t
-39.953402,10,0.639009
-53.716282,4,0.661107
-26.581277,13,0.738183
-44.825444,5,0.766532
-78.099144,12,0.834219
-42.550081,8,0.878419
-113.109595,14,0.956565
-25.366815,7,0.995506
-76.002119,10,1.052983
-63.777393,6,1.087114
-61.679334,6,1.12037
-115.520914,15,1.208741
22.14534,15,1.299273
-52.910834,8,1.345
-55.335947,11,1.407908
-41.202325,11,1.471785
-56.624069,13,1.546059
-49.333952,6,1.580021
-25.709116,7,1.619988
-19.429142,15,1.705775
-142.760752,9,1.760937
22.936216,15,1.848029
-12.469398,14,2.310282
-29.247564,8,2.355236
-55.174159,7,2.395511
-31.105208,8,2.442032
13.161435,15,2.528611
-4.434633,15,2.617763
-35.816048,8,2.666945
-18.393992,8,2.714673
-9.965866,14,2.797992
-28.920381,7,2.83955
-32.763168,10,2.896153
-25.138268,15,2.981367
-50.536899,14,3.060749
-48.752656,7,3.105636
-16.420159,6,3.144417
-32.020816,6,3.178038
-43.521128,8,3.225084
38.846472,15,3.308987
-70.224174,7,3.351953
-10.926107,12,3.42004
-43.878959,7,3.463563
-28.65603,12,3.53437
-15.16478,15,3.955952
-14.180803,7,3.996291
-44.075309,9,4.048427
-56.758392,11,4.115265
5.109128,15,4.20023
-48.534492,12,4.268528
-56.459272,8,4.315114
-25.656936,10,4.371494
-8.492808,14,4.45365
-35.313261,10,4.511901
-60.162522,9,4.565963
-91.123861,14,4.644063
-25.685082,10,4.706918
-48.133485,10,4.767968
-42.60904,9,4.819892
-21.869903,8,4.866403
-5.339611,12,4.936961
-13.102517,15,5.02439
-26.293317,10,5.082374
-2.670566,15,5.177017
-3.675286,15,5.609964
-23.984992,15,5.69679
-8.977985,11,5.764922
-22.462771,13,5.839586
-49.017426,5,5.868074
24.851281,15,5.952499
-21.137854,10,6.012907
-6.070193,15,6.10394
-43.974341,11,6.167514
3.16435,15,6.256272
-26.244327,7,6.29794
-70.498441,10,6.355797
-49.115125,11,6.423074
-30.186652,14,6.505182
21.900358,15,6.591422
23.171474,15,6.678231
-34.091212,7,6.719793
-36.214368,14,6.802358
-10.153149,10,6.859394
-67.625265,8,7.248309
-42.003769,7,7.289487
-17.819678,7,7.332564
-20.018641,10,7.392959
29.899516,15,7.480636
-58.059863,10,7.540721
42.667779,15,7.629473
