#{"t_start": 1765382135.405518, "env_id": "None"}
r,l,t
-11.680433,11,0.582175
-56.527231,15,0.668846
34.432745,15,0.755487
-12.010373,11,0.817177
-95.93571,9,0.866571
-29.580518,6,0.900144
-7.99463,15,0.984441
11.320068,15,1.073538
-11.090087,15,1.169927
-78.319826,15,1.255842
-113.857951,13,1.329848
-23.302086,13,1.402166
-14.12094,13,1.474983
-9.845095,15,1.559526
-50.174732,10,1.615299
-29.012447,14,1.693187
-113.096785,9,1.742486
-46.576588,8,1.786406
-48.827079,6,2.201764
-76.807713,7,2.240297
-10.374249,15,2.329492
-77.25989,8,2.374452
-47.632773,13,2.446859
35.123039,15,2.530112
-31.585135,13,2.60361
-47.158188,8,2.648427
-25.198924,15,2.732989
-16.469806,9,2.783238
-55.911363,5,2.811267
-51.340259,6,2.849376
-68.529714,7,2.888246
-2.930357,15,2.970831
-17.691041,15,3.054869
-79.904936,15,3.137508
-35.016069,14,3.213241
-61.554556,10,3.26823
26.681292,15,3.354497
24.563257,15,3.439362
-28.489568,7,3.789034
-89.786003,10,3.84469
26.973945,15,3.926474
-20.26282,10,3.982429
-14.031999,7,4.021766
25.221866,15,4.10465
26.421905,15,4.191323
-1.435132,11,4.252606
-68.791122,13,4.326479
-38.782735,10,4.382946
-46.730677,8,4.428645
-20.997878,9,4.478683
13.432631,15,4.563837
-7.064434,15,4.647586
-37.785928,11,4.709581
-88.680799,12,4.777511
-73.377341,6,4.811773
27.241955,15,4.895286
18.249033,15,4.979231
-19.071972,9,5.340123
-36.104211,7,5.37958
-22.743841,7,5.418722
-47.412809,11,5.480345
-11.043941,15,5.563927
-22.50468,11,5.624878
-5.330116,15,5.708
-4.405981,15,5.790365
-43.203792,5,5.81959
-32.732136,9,5.87062
-7.664168,13,5.943641
-63.359415,15,6.02505
10.794376,15,6.109077
28.424756,15,6.196796
42.743034,15,6.28131
-18.324859,11,6.344516
-17.410749,15,6.427909
-61.667062,13,6.50063
11.379145,15,6.583985
-48.812327,6,6.941218
16.365081,15,7.026337
-99.944727,7,7.065837
-40.537397,9,7.119411
26.585923,15,7.203799
-25.99869,10,7.260856
14.527155,15,7.346662
-43.427546,6,7.38022
-0.117024,15,7.466526
20.319616,15,7.552599
-10.121794,15,7.636045
-42.872253,11,7.698834
24.833077,15,7.78184
-61.961878,8,7.825785
-41.97756,7,7.865575
21.275927,15,7.951136
-3.80828,15,8.03325
-9.986474,15,8.116734
-33.552887,15,8.51257
-2.716726,10,8.568368
-48.957114,15,8.65216
39.498507,15,8.735332
36.575555,15,8.82073
-39.745269,7,8.858938
14.154849,15,8.943287
-94.838673,9,8.994155
35.259492,15,9.07909
7.412793,15,9.162918
31.215764,15,9.251718
-11.262735,9,9.302271
-1.022236,15,9.390462
-26.459372,12,9.456537
-34.523128,10,9.512537
-26.020373,12,9.587031
29.490425,15,9.674256
-22.611046,12,9.750179
-28.413317,11,10.120938
-10.381015,9,10.173159
24.809955,15,10.261192
-11.695853,15,10.348093
37.805983,15,10.433106
37.39917,15,10.518119
-5.18735,9,10.568572
-51.845698,7,10.609622
-12.426305,14,10.689534
34.415917,15,10.774315
-55.372956,11,10.837188
24.724474,15,10.926369
-6.676943,13,11.001251
9.862642,15,11.087342
-15.671808,10,11.143871
43.866291,15,11.230769
8.643224,15,11.316506
-7.821837,8,11.363739
-54.396346,12,11.973095
8.573601,15,12.061128
13.802358,15,12.147006
2.640972,15,12.232024
34.912355,15,12.320715
37.759583,15,12.40803
30.211417,15,12.49473
9.784811,15,12.582975
-7.361663,15,12.670911
33.561625,15,12.758492
-19.826762,5,12.787078
-7.305709,15,12.873608
13.900766,15,12.960288
25.350943,15,13.047562
-26.963793,11,13.112506
44.386742,15,13.199979
-8.384918,15,13.59783
-28.191148,12,13.782267
26.693711,15,13.875854
-38.196995,8,13.924268
49.599397,15,14.016257
33.012078,15,14.105777
-42.813973,14,14.185728
28.765989,15,14.270139
18.474867,15,14.356737
32.414689,15,14.4415
10.560671,15,14.525946
-27.186033,8,14.572527
-25.094346,12,14.640979
-5.18184,8,14.686566
-31.286529,9,14.739129
29.663152,15,14.827428
-22.555001,14,14.911783
-31.291479,7,14.951334
-13.030463,9,15.322204
34.116096,15,15.411201
-3.744834,14,15.490429
21.432023,15,15.5779
-8.245744,15,15.664127
-31.415656,11,15.726823
-42.726229,5,15.756774
14.126608,15,15.843016
-51.235267,8,15.888205
19.222036,15,15.974981
-15.008222,12,16.042948
42.611848,15,16.12997
20.637265,15,16.215593
29.893469,15,16.301273
-11.505225,14,16.382376
-17.36751,11,16.445244
-22.798612,6,16.481006
14.640261,15,16.56627
38.998683,15,16.956565
40.952425,15,17.042138
47.712153,15,17.129425
29.485774,15,17.2155
23.09085,15,17.301411
-18.003723,7,17.341222
39.687545,15,17.430173
26.128492,15,17.517788
22.970825,15,17.63587
0.313858,15,17.723284
33.752548,15,17.810534
-2.983263,15,17.896311
29.257028,15,17.982459
28.455914,15,18.069931
26.954325,15,18.156374
34.165458,15,18.557492
-3.397608,15,18.643849
10.571445,15,18.734212
24.069501,15,18.85428
-1.457908,15,18.996318
4.041868,14,19.119259
38.314497,15,19.20777
45.36649,15,19.328771
-21.085258,15,19.444915
34.993431,15,19.532962
-3.148401,15,19.619861
14.265663,15,19.707678
45.541725,15,19.793282
48.823715,15,19.880198
49.890999,15,19.970032
40.478958,15,20.365238
22.736802,15,20.451576
44.740746,15,20.536668
14.55988,15,20.626152
48.262994,15,20.711735
14.008951,15,20.799076
38.968069,15,20.885113
-22.712738,10,20.942019
30.558609,15,21.029861
-52.596459,9,21.081714
-14.057584,7,21.126186
20.309757,15,21.216878
-18.828478,15,21.303581
24.514417,15,21.391225
-4.99181,12,21.459651
45.612517,15,21.546099
14.780503,15,21.638557
44.221541,15,22.029787
23.170554,15,22.117734
37.95006,15,22.266063
-16.275061,7,22.317439
42.218831,15,22.421476
48.177086,15,22.513212
13.834585,15,22.612315
39.2453,15,22.699795
48.090035,15,22.786523
44.233836,15,22.873085
33.597086,15,22.958643
45.028271,15,23.04362
41.701722,15,23.131556
21.773763,15,23.218804
33.212389,15,23.305588
41.171104,15,23.701596
-1.117874,11,23.764475
35.461979,15,23.84996
38.732706,15,23.934957
51.526886,15,24.020085
41.173595,15,24.105585
38.783168,15,24.190745
-4.362261,10,24.247192
51.343535,15,24.334086
48.454842,15,24.420427
38.634682,15,24.507685
26.22937,15,24.592911
45.739756,15,24.681568
30.834262,15,24.767419
45.968836,15,24.858644
27.740929,15,24.944314
36.0015,15,25.349947
47.076607,15,25.441853
41.860207,15,25.537689
42.359239,15,25.624528
47.214114,15,25.7139
41.985209,15,25.802021
50.758115,15,25.889806
34.93985,15,25.978911
38.582382,15,26.063916
50.486541,15,26.149543
48.589219,15,26.234855
