#{"t_start": 1765375820.108327, "env_id": "None"}
r,l,t
-47.490224,3,0.558503
-55.185681,6,0.591454
-50.740373,4,0.61449
-51.658467,4,0.638975
-52.91172,4,0.663551
-68.567733,4,0.68727
-47.589739,6,0.721211
-67.106025,3,0.737954
-63.558817,4,0.760831
-60.5004,3,0.778817
-54.118138,3,0.795385
-47.731815,3,0.811272
-51.504647,4,0.833803
-44.055261,4,0.859376
-44.097367,5,0.887794
-47.736989,3,0.903881
-78.897459,4,0.926634
-79.778923,3,0.942518
-90.592232,4,0.964361
-63.048906,7,1.004734
-59.832523,4,1.025393
-45.566885,3,1.042282
-51.859125,5,1.071155
-54.151802,3,1.088237
-87.011028,6,1.120877
-64.709366,4,1.141669
-47.387978,6,1.173628
-59.803239,3,1.192697
-80.828436,4,1.21695
-44.168881,5,1.24716
-56.812981,5,1.277393
-66.643451,3,1.295833
-90.224979,4,1.318833
-60.45188,3,1.335724
-47.241766,3,1.353515
-47.422835,3,1.371458
-60.381137,3,1.388334
-50.866648,5,1.417743
-58.312181,4,1.440216
-47.720153,3,1.459752
-47.818492,3,1.477187
-60.479214,3,1.506797
-50.778516,4,1.530053
-58.285979,3,1.54573
-76.408514,5,1.573217
-61.743678,3,1.589944
-89.110937,4,1.610963
-54.168224,3,1.626997
-47.46501,3,1.644144
-79.583802,6,1.67725
-82.730886,4,1.702086
-79.680151,3,1.719028
-60.510297,3,1.735351
-53.9041,3,1.750836
-90.068126,4,1.771763
-47.451536,3,1.788634
-63.257743,5,1.81706
-79.543472,3,1.83351
-60.356135,6,2.265366
-47.627374,3,2.282132
-62.591441,4,2.302791
-60.524575,3,2.320618
-66.912824,3,2.33781
-47.492893,3,2.354237
-50.330356,4,2.375701
-37.57989,5,2.402263
-47.522843,3,2.418447
-66.990412,3,2.43525
-32.465385,8,2.480064
-44.365381,4,2.50215
-40.907612,6,2.535975
-60.300397,3,2.55331
-60.234432,3,2.570662
-40.93158,6,2.603739
-69.921444,4,2.626517
-45.366797,4,2.648089
-53.823562,3,2.664381
-62.165259,7,2.708644
-54.135492,3,2.725233
-60.557707,3,2.740876
-47.659006,3,2.758038
-57.158877,4,2.780323
-79.675285,3,2.796461
-43.538927,4,2.819787
-54.077349,3,2.837375
-62.620345,4,2.860136
-66.972649,3,2.877751
-47.334215,6,2.911849
-48.368781,9,2.961067
-66.965724,3,2.978054
-60.499241,3,2.995523
-66.909918,3,3.011852
-60.468716,3,3.028092
-53.890721,3,3.045764
-66.642514,3,3.06309
-60.469382,3,3.080109
-43.465815,4,3.102478
-67.937768,5,3.129075
-90.575122,4,3.150384
-71.216294,4,3.172041
-52.428366,4,3.194402
-51.010003,8,3.236729
-79.44529,3,3.253331
-60.430798,3,3.271024
-64.821331,4,3.292717
-66.898498,3,3.309769
-61.66429,6,3.343655
-76.013987,5,3.373132
-65.019687,4,3.394283
-77.783095,3,3.411672
-46.53254,4,3.435826
-57.654641,5,3.463819
-66.127979,4,3.48491
-60.476639,3,3.821807
-77.239923,4,3.844571
-60.439003,3,3.861645
-44.366305,4,3.885086
-45.343521,4,3.908315
-69.602989,4,3.929711
-56.820665,5,3.957996
-34.58426,10,4.015045
-54.177224,3,4.033098
-63.49542,4,4.055886
-44.312475,8,4.099806
-45.061078,4,4.121414
-45.721861,3,4.13799
-44.554384,8,4.183038
-44.391182,4,4.206018
-71.363729,4,4.227346
-60.186996,3,4.244784
-47.713023,6,4.278531
-40.827438,7,4.317904
-74.28628,5,4.34495
-60.457245,3,4.362267
-60.466325,3,4.379482
-47.269016,7,4.419615
-66.772204,3,4.436896
-86.023932,6,4.471586
-61.711082,6,4.50577
-79.675099,3,4.522479
-50.656913,4,4.54493
-66.975156,3,4.562608
-60.184889,3,4.580211
-76.334362,5,4.609397
-64.934478,4,4.631493
-47.456575,3,4.649201
-60.450375,3,4.666184
-70.038342,4,4.688089
-47.749507,3,4.704983
-60.445632,3,4.727749
-44.126695,5,4.755777
-72.968899,7,4.794504
-50.794132,4,4.816501
-71.290361,4,4.839467
-51.828667,4,4.862361
-60.521843,3,4.88077
-47.749155,3,4.897547
-57.223438,5,4.926197
-93.855363,6,4.958648
-56.924451,5,4.989926
-57.111951,5,5.01669
-50.747968,5,5.044947
-79.749004,3,5.062558
-45.294677,4,5.084524
-60.476437,3,5.419316
-41.100016,6,5.453199
-66.655195,3,5.47058
-56.986027,5,5.499861
-70.072012,3,5.516399
-64.047174,4,5.537831
-67.351113,5,5.565501
-50.73484,4,5.588886
-71.007882,4,5.611197
-51.809343,4,5.633215
-47.636389,3,5.649133
-60.231831,3,5.665829
-47.614591,3,5.68186
-72.681702,7,5.721805
-79.434813,6,5.761587
-47.129568,7,5.800695
-53.64303,7,5.838674
-66.640704,3,5.854866
-60.440566,3,5.870668
-66.642848,3,5.887874
-51.812112,4,5.910474
-50.682191,5,5.939445
-57.137514,4,5.961129
-60.291391,4,5.984072
-55.335912,6,6.016364
-47.411578,3,6.033459
-70.83692,4,6.055344
-90.667957,4,6.076751
-47.502455,3,6.094816
-50.42143,5,6.122089
-44.494856,5,6.150995
-44.146036,5,6.181022
-76.513931,5,6.209265
-66.574433,3,6.226435
-62.868864,3,6.243978
-71.585598,4,6.265671
-44.275322,6,6.300055
-47.665712,3,6.317321
-79.557598,3,6.334179
-89.180242,4,6.355688
-47.659525,3,6.372347
-60.57241,3,6.389685
-77.743902,4,6.410979
-60.477177,3,6.428162
-87.462384,6,6.460459
-64.455298,5,6.488031
-66.978041,3,6.504564
-50.803523,4,6.526375
-66.704101,3,6.54393
-66.683863,3,6.561273
-60.401193,3,6.578115
-47.627819,3,6.597136
-59.43984,3,6.614575
-63.340197,5,6.644505
-47.646058,3,6.662574
-66.958815,3,6.679715
-68.005605,6,7.030396
-47.654991,3,7.047174
-82.958582,8,7.090457
-66.937238,3,7.107804
-63.197566,5,7.135551
-47.442011,6,7.169613
-64.967088,4,7.193367
-63.542662,4,7.216684
-62.974694,5,7.24493
-60.494135,3,7.26215
-45.459898,4,7.284356
-60.238562,3,7.301564
-41.252083,7,7.33956
-44.323384,5,7.367623
-46.949006,4,7.391358
-47.649786,3,7.412321
-47.729193,3,7.432858
-51.491112,4,7.455744
-56.925635,5,7.48412
-45.206776,4,7.505833
-44.289775,5,7.535243
-51.490241,4,7.556015
-66.839331,3,7.573133
-60.856215,6,7.606536
-45.288933,4,7.62868
-60.567457,3,7.645779
-47.679509,3,7.662398
-54.241079,3,7.678891
-66.938694,3,7.696381
-64.879677,8,7.740958
-60.543599,3,7.757793
-51.73277,8,7.803653
-47.575671,3,7.82097
-59.582564,4,7.842826
-67.153257,6,7.880274
-60.57192,3,7.896795
-48.178663,5,7.926597
-56.977621,5,7.9552
-60.469808,3,7.97331
-56.991543,5,8.001626
-50.801592,4,8.024318
-41.679115,6,8.058201
-47.518529,3,8.075612
-41.396825,6,8.110173
-47.657146,3,8.127754
-58.384353,4,8.149771
-100.26443,4,8.171314
-43.342139,4,8.193484
-47.469028,6,8.226766
-66.958057,3,8.245009
-60.456112,3,8.263131
-57.200061,5,8.609581
-48.218201,7,8.647724
-50.656054,4,8.670382
-60.038465,3,8.687264
-79.759618,3,8.704088
-50.630206,5,8.733039
-66.819849,3,8.748555
-63.562039,4,8.771216
-47.695268,3,8.788376
-58.355747,4,8.81068
-41.552643,4,8.836528
-43.966197,5,8.865809
-67.023495,3,8.883307
-66.822412,3,8.900249
-57.252187,4,8.922803
-60.275535,3,8.939704
-51.357453,4,8.961935
-60.396215,3,8.979109
-41.182098,6,9.011122
-66.580039,3,9.028495
-50.341364,4,9.052556
-60.390712,3,9.07013
-44.26919,4,9.091633
-56.95095,5,9.119782
-66.884575,3,9.137215
-60.598879,3,9.15417
-77.834695,4,9.176782
-63.560233,5,9.205395
-60.323176,3,9.222592
-66.620023,3,9.238873
-45.365824,4,9.259911
-60.379975,3,9.277644
-47.463005,3,9.294437
-50.446568,5,9.323057
-50.769906,4,9.344414
-44.336896,4,9.366967
-48.973481,4,9.390349
-55.209113,7,9.43146
-60.306501,3,9.448931
-79.539408,3,9.465224
-51.233392,9,9.517554
-53.894923,3,9.534368
-44.135883,5,9.562501
-57.01067,5,9.591416
-72.407023,4,9.613164
-57.353546,5,9.645444
-76.288953,5,9.67816
-51.978547,4,9.699449
-74.702984,6,9.731531
-60.501826,3,9.748379
-66.664214,3,9.765739
-60.544398,3,9.782556
-79.708487,3,9.799426
-60.393707,3,9.815867
-57.855456,3,9.832337
-79.711695,3,9.849742
-71.194235,4,9.871824
-60.52565,3,10.20491
-50.713572,4,10.228692
-47.787867,3,10.244897
-56.974019,5,10.2728
-51.953455,4,10.297043
-66.957109,3,10.314163
-58.328106,4,10.335882
-78.199666,3,10.352834
-66.897124,3,10.370576
-44.485524,4,10.394768
-60.199118,3,10.411935
-79.536313,3,10.429395
-47.787471,3,10.447138
-66.872966,3,10.464009
-66.81617,3,10.481563
-60.274894,7,10.520374
-47.679263,4,10.542334
-58.404375,3,10.559074
-60.253283,3,10.575322
-60.532744,3,10.593311
-90.072951,4,10.615841
-44.891883,6,10.650412
-60.214745,3,10.667684
-47.596702,3,10.684783
-60.303051,3,10.702168
-64.919247,3,10.719529
-76.354801,5,10.74781
-43.789761,4,10.774559
-60.399966,3,10.793959
-51.482113,4,10.816163
-88.00701,4,10.839128
-44.432286,6,10.871558
-63.593309,4,10.893442
-60.479638,3,10.911511
-66.916949,3,10.928171
-47.793976,3,10.944886
-50.58288,5,10.973518
-79.498468,3,10.992584
-66.920489,3,11.009817
-57.5911,8,11.058147
-45.070783,4,11.081255
-53.847898,3,11.097952
-51.575305,4,11.12082
-47.691271,3,11.137344
-63.434449,5,11.166083
-38.059836,5,11.194769
-71.587325,4,11.217056
