#{"t_start": 1765382135.4032588, "env_id": "None"}
r,l,t
-1.940857,15,0.605652
6.182771,15,0.691268
27.419398,15,0.77785
-75.300576,8,0.823291
-42.192901,11,0.883474
-38.808385,8,0.928201
-39.223556,5,0.955657
-36.760376,12,1.024844
-40.758604,7,1.066635
21.417072,15,1.162895
-1.400695,15,1.250257
-32.02634,7,1.290763
-25.410421,8,1.335807
-18.829337,10,1.391285
-1.342376,15,1.474883
26.18404,15,1.559149
-53.997999,12,1.626465
-42.43888,7,1.665982
-43.362896,7,1.704407
-65.835652,13,1.774961
30.045785,15,2.240291
-36.906898,12,2.310871
-59.773803,13,2.38623
38.816508,15,2.469816
-65.439618,8,2.513124
-38.301499,9,2.565362
-72.99609,13,2.63781
2.183929,15,2.721981
9.538142,15,2.806146
-57.865348,7,2.849482
-15.731425,7,2.888498
42.384331,15,2.970781
-26.644738,15,3.054812
-53.950263,15,3.137913
14.612235,15,3.219293
16.957408,15,3.304749
-55.583533,6,3.338167
-16.775333,7,3.37751
-48.850105,9,3.428522
-63.836171,14,3.817394
-36.551641,10,3.872174
34.887335,15,3.955166
-38.512066,6,3.988336
-57.988492,12,4.054895
-20.219834,8,4.099183
-16.925945,11,4.163593
-78.361891,9,4.213821
3.790165,15,4.297847
0.980983,15,4.383027
-62.986409,9,4.434722
13.966356,15,4.519038
-3.208281,15,4.603729
-29.028031,9,4.65337
24.661364,15,4.738122
-35.98616,8,4.784136
-74.130874,14,4.862544
-22.148921,7,4.901187
-11.860235,8,4.946056
-15.587001,11,5.007394
-26.818693,6,5.352384
-11.812647,7,5.391324
-71.357848,12,5.457683
-44.033199,15,5.541217
-70.063097,7,5.581255
-7.054024,15,5.664507
-11.651812,12,5.730017
25.449267,15,5.813367
-22.334862,14,5.892857
-22.510201,9,5.943898
-42.028096,10,5.998354
-14.47976,6,6.030792
42.340818,15,6.11536
-29.951338,9,6.168914
13.294907,15,6.252552
-86.609061,10,6.309664
-57.367242,11,6.372419
-43.548341,8,6.417153
-63.9934,8,6.461519
-36.633467,10,6.517202
44.669502,15,6.92516
-43.646657,7,6.963868
18.921728,15,7.049309
-45.228409,14,7.130682
-56.435104,13,7.203728
41.673372,15,7.289598
24.297179,15,7.375021
5.269498,15,7.457793
-22.706835,8,7.508799
-15.524095,15,7.591624
-53.683346,8,7.635976
-23.58811,10,7.693019
-25.243687,13,7.765461
27.090147,15,7.84841
-28.999935,8,7.893921
-55.379251,15,7.978522
18.726037,15,8.061396
7.176329,15,8.145753
-7.478975,14,8.535638
-33.321543,11,8.596608
17.030039,15,8.679613
-43.771029,10,8.735324
-33.888327,12,8.80364
-44.350783,10,8.859452
-44.327837,8,8.903701
-27.175419,11,8.965646
-24.82393,14,9.04461
18.806462,15,9.128714
49.419997,15,9.213233
-16.073307,10,9.274318
30.016221,15,9.362457
30.161861,15,9.44588
-50.859105,8,9.490217
-22.764186,15,9.58152
-9.875043,13,9.656666
1.922705,15,9.750177
19.507355,15,10.14387
17.821251,15,10.232766
4.91681,15,10.319506
-32.624895,14,10.399008
-25.45043,12,10.467004
-35.765136,7,10.505392
-48.46139,10,10.563286
-11.900957,9,10.615838
-16.988191,15,10.70122
31.045723,15,10.786254
-7.573265,10,10.84341
18.031097,15,10.932958
-50.572265,5,10.962542
-36.780677,10,11.018816
18.390786,15,11.104775
30.212236,15,11.189959
17.884755,15,11.277986
12.812069,15,11.3637
24.923538,15,11.990931
-19.652511,8,12.037305
34.104016,15,12.124127
36.638156,15,12.208808
40.385743,15,12.296596
-19.160935,12,12.367421
-44.175238,13,12.442889
15.438938,15,12.529328
4.828005,15,12.619018
41.72691,15,12.706432
-31.876347,14,12.787212
29.106896,15,12.873541
35.011413,15,12.960128
-7.741376,15,13.047421
-69.364543,14,13.130173
20.196473,15,13.217765
-11.793329,15,13.68417
28.662662,15,13.818732
-1.987979,15,13.911786
-26.322377,8,13.961437
-15.865749,7,14.003271
-34.164539,9,14.058763
-9.569172,7,14.100256
13.455509,15,14.185553
-29.570572,9,14.236464
-68.291917,6,14.270079
23.090063,15,14.356611
-23.132443,11,14.418664
-69.29479,7,14.458807
-37.736199,15,14.543649
40.631679,15,14.629896
29.148449,15,14.716249
-4.02479,8,14.762451
38.555578,15,14.850611
-20.381232,12,14.922906
22.641656,15,15.32878
-39.898763,15,15.417272
41.130967,15,15.502608
