#{"t_start": 1765372853.4145238, "env_id": "None"}
r,l,t
-29.8767,3,0.521533
-31.562194,4,0.543335
-32.795912,5,0.574642
-30.041979,3,0.591251
-29.815953,3,0.608068
-30.04841,3,0.624711
-35.370862,4,0.651956
-32.00928,5,0.680365
-33.708107,4,0.701231
-32.707144,6,0.734777
-33.745293,4,0.756321
-36.871474,6,0.789503
-40.810872,10,0.841914
-31.556676,4,0.863375
-31.50164,4,0.885109
-36.092952,7,0.924777
-29.909247,3,0.941116
-32.159332,6,0.978183
-29.858972,3,0.995545
-30.045069,3,1.01191
-32.971576,4,1.034464
-35.735607,7,1.072867
-29.904111,3,1.091757
-30.48549,4,1.114147
-29.807224,3,1.130363
-30.291988,4,1.151794
-29.440086,3,1.168807
-29.895375,3,1.18512
-31.444867,4,1.207796
-31.35983,4,1.229155
-29.903705,3,1.245743
-29.041714,4,1.266997
-31.407128,4,1.289296
-34.491601,4,1.310915
-29.812061,3,1.328273
-30.006576,3,1.345467
-29.850391,3,1.361979
-29.877999,3,1.379404
-30.866724,5,1.408377
-28.807625,3,1.426288
-29.814946,3,1.442532
-33.948563,4,1.464758
-39.281519,8,1.507547
-29.903639,3,1.524635
-30.048539,3,1.541846
-31.782683,4,1.563438
-37.567669,6,1.599468
-31.480049,4,1.623277
-29.809403,3,1.640538
-29.467587,3,1.657977
-34.473003,4,1.679527
-38.421577,9,1.728138
-37.938763,6,1.760666
-29.893163,3,2.156169
-29.456777,3,2.173713
-33.282412,6,2.208185
-31.558392,4,2.230374
-30.039323,3,2.248961
-29.449714,3,2.265775
-34.467615,6,2.299501
-29.445008,3,2.317951
-29.995555,3,2.335946
-32.936485,5,2.365071
-33.891743,4,2.387516
-33.108352,5,2.415651
-29.864831,3,2.431669
-29.461399,3,2.448959
-29.994534,3,2.466494
-34.352863,4,2.487587
-29.462678,3,2.504551
-29.84895,3,2.521668
-32.413847,5,2.549824
-33.261234,5,2.579092
-29.881362,3,2.597816
-33.690753,4,2.620351
-29.890183,3,2.637267
-30.834723,6,2.669405
-29.506575,3,2.686331
-31.428419,4,2.708383
-29.865359,3,2.725574
-36.301147,6,2.758244
-37.254612,6,2.790765
-29.905146,3,2.80774
-30.000238,3,2.824506
-32.81261,6,2.857944
-29.364882,4,2.879653
-29.916735,3,2.89697
-33.708288,4,2.920032
-30.04158,3,2.937532
-30.010612,3,2.954244
-31.563222,4,2.976636
-32.941242,5,3.005185
-31.044297,4,3.026496
-29.499528,3,3.043951
-31.575073,4,3.067033
-31.426271,4,3.093829
-33.661779,7,3.13231
-29.867745,3,3.150285
-32.343493,5,3.179259
-30.39928,4,3.202187
-29.515678,3,3.219268
-30.048172,3,3.23601
-33.154957,6,3.270115
-29.900439,3,3.287514
-33.747987,4,3.309451
-29.997616,3,3.32749
-31.436131,4,3.350308
-28.752106,4,3.37333
-31.393009,4,3.395977
-29.460174,3,3.414383
-33.757614,6,3.752787
-31.437567,4,3.775836
-32.388566,5,3.805395
-33.740488,4,3.828195
-29.989848,3,3.845187
-29.872928,3,3.861971
-29.890105,3,3.879288
-26.462943,4,3.902577
-32.664288,5,3.931096
-36.014062,6,3.964401
-29.901372,3,3.981386
-28.569531,3,3.997893
-34.887305,6,4.031863
-29.816337,3,4.049344
-29.887382,3,4.065818
-37.774475,8,4.111904
-29.888033,3,4.128699
-32.31913,5,4.157925
-29.800443,3,4.176085
-29.865426,3,4.195839
-29.808048,3,4.213554
-29.810266,3,4.230476
-31.453609,4,4.252101
-29.516834,3,4.269099
-34.380923,4,4.298182
-29.866604,3,4.31636
-29.992671,3,4.333789
-29.766166,3,4.351609
-30.000006,3,4.368466
-34.518569,4,4.391479
-29.452076,3,4.408771
-31.489735,4,4.431924
-31.551851,4,4.453761
-29.991589,3,4.470896
-29.803026,3,4.489082
-32.988536,5,4.519192
-33.696653,4,4.542576
-29.809212,3,4.559812
-32.866648,5,4.587594
-32.009534,4,4.609337
-29.464025,3,4.626373
-32.946059,4,4.647966
-29.903376,3,4.663745
-29.812374,3,4.680343
-29.509409,3,4.696578
-32.788192,5,4.725597
-32.67897,4,4.748832
-32.965656,5,4.776589
-29.998832,3,4.79425
-31.449024,4,4.816018
-29.873996,3,4.83294
-31.345764,4,4.854872
-32.9913,6,4.887661
-29.879183,3,4.905215
-29.446595,3,4.922221
-29.894853,3,4.939099
-29.518852,3,4.956828
-30.035765,3,4.974021
-29.81591,3,4.991934
-32.796274,5,5.021714
-29.907681,3,5.348746
-29.814354,3,5.366489
-29.994293,3,5.384428
-32.427829,5,5.414646
-32.865355,6,5.449831
-29.809146,3,5.468028
-29.853361,3,5.485397
-29.508243,3,5.503057
-29.896118,3,5.520212
-29.81054,3,5.537334
-29.450941,3,5.557836
-30.037054,3,5.574417
-29.7239,4,5.596458
-31.951785,4,5.618906
-29.892,3,5.635643
-29.46715,3,5.652914
-32.94641,5,5.681404
-32.510938,5,5.71008
-30.059565,3,5.728074
-29.517197,3,5.745204
-33.979049,4,5.76608
-29.437739,3,5.783718
-32.423801,5,5.812383
-29.882976,3,5.829757
-29.460256,3,5.846936
-35.943584,7,5.886953
-29.419692,3,5.904466
-29.999,3,5.921042
-34.522988,4,5.942404
-29.469598,3,5.960724
-29.512108,3,5.97807
-31.528173,4,6.000842
-29.823795,3,6.018009
-29.843279,3,6.035974
-29.820625,3,6.054097
-29.868392,3,6.071478
-30.195572,4,6.093122
-29.892265,3,6.110622
-28.755604,5,6.141448
-32.488643,5,6.171461
-27.404629,3,6.188896
-29.997638,3,6.205752
-29.819959,3,6.223448
-29.850687,3,6.241006
-29.460279,3,6.25769
-27.94308,3,6.274865
-29.890196,3,6.29169
-29.454289,3,6.309882
