#{"t_start": 1765373842.585228, "env_id": "None"}
r,l,t
-104.037772,7,0.609315
-80.940349,4,0.632486
-74.842848,3,0.651483
-83.674993,4,0.673854
-80.969301,4,0.695106
-79.705841,4,0.723279
-83.270731,4,0.758099
-84.638539,4,0.799237
-73.551737,3,0.818051
-80.989532,4,0.841311
-74.69311,3,0.858529
-99.253812,7,0.901746
-99.938515,7,1.065957
-74.292976,3,1.085175
-78.550369,4,1.107181
-74.266786,3,1.123326
-74.845729,3,1.139354
-83.088513,4,1.161735
-94.069672,6,1.19442
-83.233757,4,1.217634
-78.235377,4,1.239336
-74.273954,3,1.255822
-74.672021,3,1.271531
-100.391425,7,1.311454
-74.850512,3,1.328113
-74.706922,3,1.344452
-86.990189,5,1.372433
-74.692677,3,1.389776
-74.324708,3,1.407371
-74.861894,3,1.424544
-74.857097,3,1.441746
-74.852785,3,1.45873
-96.162066,6,1.490753
-96.923001,6,1.523033
-74.736401,3,1.539384
-87.49915,5,1.566891
-74.739652,3,1.583139
-78.612866,4,1.604792
-74.205348,3,1.622064
-87.855162,5,1.649684
-74.852161,3,1.665802
-82.310441,4,1.687916
-83.813826,4,1.708454
-81.039962,4,1.730717
-95.196554,7,1.770494
-80.982692,4,1.805314
-83.658452,4,1.825627
-74.66624,3,1.842408
-87.02519,5,1.870825
-83.898369,4,1.892525
-76.110958,4,1.913952
-83.088753,4,1.93572
-83.077208,4,1.957262
-72.62266,3,1.973598
