#{"t_start": 1765372853.410872, "env_id": "None"}
r,l,t
-29.02012,4,0.528291
-44.853247,12,0.598136
-29.399123,3,0.615308
-29.460798,3,0.63262
-32.916593,5,0.664871
-34.107383,4,0.687293
-34.525726,4,0.708021
-29.909403,3,0.724852
-29.048963,4,0.747339
-29.808791,3,0.764219
-32.676856,5,0.791509
-33.934559,4,0.812633
-31.663134,4,0.833539
-33.62914,6,0.864889
-31.428172,4,0.886898
-39.756595,8,0.93164
-30.033821,3,0.949459
-29.51033,3,0.968029
-34.909367,6,1.002547
-34.852333,4,1.024894
-33.083535,4,1.047279
-30.051281,3,1.063482
-29.708864,4,1.0856
-27.820694,3,1.104902
-35.906288,7,1.143053
-35.389034,8,1.186473
-34.340796,4,1.209523
-35.755389,6,1.242063
-31.774435,4,1.263193
-34.803464,6,1.29633
-29.867312,3,1.31288
-30.041773,3,1.329772
-34.621195,4,1.352521
-29.454777,3,1.369373
-34.428129,7,1.409848
-34.209613,5,1.438096
-30.039611,3,1.455051
-31.571182,4,1.476944
-34.867797,6,1.509852
-32.841848,5,1.538198
-31.172287,4,1.559738
-31.20226,4,1.582869
-29.816347,3,1.60127
-33.760023,4,1.625064
-29.46341,3,1.641915
-28.94675,3,1.659427
-41.752303,11,1.719032
-34.556792,4,1.740457
-29.869832,3,1.757035
-29.816065,3,2.151765
-30.050397,3,2.168861
-29.857979,3,2.186711
-29.810389,3,2.204503
-29.905334,3,2.220919
-30.004122,3,2.239434
-29.5056,3,2.256689
-29.519561,3,2.273499
-32.828875,5,2.301215
-32.908281,5,2.331354
-28.786641,3,2.349158
-32.698519,5,2.377871
-32.829917,5,2.405489
-33.910697,4,2.427732
-29.461817,3,2.445162
-32.849397,5,2.473966
-31.379241,4,2.494904
-29.366855,3,2.512192
-34.508956,4,2.534219
-29.856838,3,2.551247
-36.186445,6,2.585866
-30.546576,4,2.61073
-32.701899,5,2.638804
-29.064613,4,2.660431
-29.808198,3,2.676965
-37.056139,6,2.71017
-29.51674,3,2.727024
-33.570328,4,2.74896
-29.88674,3,2.76524
-34.326454,6,2.797959
-29.444026,3,2.814816
-32.390384,5,2.842932
-31.445924,4,2.864878
-35.921293,7,2.904586
-28.932715,3,2.921801
-29.881493,3,2.939007
-29.86732,3,2.955665
-32.662742,5,2.983995
-37.53765,6,3.017925
-30.09396,5,3.045671
-29.814022,3,3.062734
-29.886437,4,3.089686
-29.80729,3,3.1067
-30.032938,3,3.122913
-29.904132,3,3.139886
-32.332902,5,3.169655
-29.526469,3,3.186983
-29.810749,3,3.203816
-29.727263,3,3.220502
-27.598754,3,3.237183
-29.894261,3,3.254092
