#{"t_start": 1765373842.594253, "env_id": "None"}
r,l,t
-74.705958,3,0.578198
-74.276408,3,0.596363
-74.66578,3,0.612965
-81.096096,4,0.637083
-83.235948,4,0.661548
-87.049495,5,0.687707
-82.3562,5,0.728225
-74.844603,3,0.751552
-99.987801,7,0.810721
-126.580236,11,0.875986
-69.733136,3,0.894472
-74.730473,3,0.912954
-74.862511,3,1.051594
-80.971268,4,1.077517
-82.48604,4,1.099172
-79.025348,4,1.12056
-110.244975,8,1.164481
-78.407494,4,1.186693
-78.629766,4,1.209664
-76.115897,4,1.231482
-83.337977,4,1.25312
-80.976946,4,1.275725
-94.316915,6,1.309036
-83.662137,4,1.330788
-82.929007,4,1.353457
-74.855336,3,1.370356
-74.661084,3,1.388394
-86.940866,5,1.417075
-74.857841,3,1.434307
-74.852179,3,1.451003
-74.673257,3,1.468037
-83.252461,4,1.488077
-74.282479,3,1.504234
-74.729891,3,1.521186
-100.110131,7,1.559409
-74.69656,3,1.575984
-74.853702,3,1.592134
-87.017187,5,1.620727
-83.249002,4,1.641632
-72.49439,3,1.658321
-76.353,4,1.680151
-74.327111,3,1.695696
-100.368655,7,1.734422
-74.858503,3,1.751272
-87.194197,5,1.792337
-79.799563,4,1.813109
-106.621261,8,1.857261
-86.416052,5,1.885126
-76.164801,4,1.906109
-74.685455,3,1.923128
-74.662244,3,1.939163
-74.328926,3,1.955196
-74.329438,3,1.971682
-74.736337,3,1.9876
