#{"t_start": 1765372853.408332, "env_id": "None"}
r,l,t
-33.546541,4,0.529708
-33.75978,4,0.551455
-29.526633,3,0.571658
-29.566487,4,0.593906
-31.451251,4,0.616272
-30.048021,3,0.633352
-29.994141,3,0.650462
-29.862648,3,0.671595
-30.401798,4,0.694129
-33.736999,4,0.715011
-29.811238,3,0.732151
-27.940185,3,0.748767
-29.458082,3,0.765167
-28.86623,4,0.78701
-29.813271,3,0.803484
-36.30632,6,0.835092
-29.906653,3,0.850135
-32.832077,5,0.877698
-29.992548,3,0.893808
-31.562623,4,0.916187
-32.888766,4,0.938329
-31.565253,4,0.963242
-29.464955,3,0.980767
-29.901301,3,0.998242
-29.451054,3,1.014605
-29.50322,3,1.032112
-29.447171,3,1.048634
-33.161397,4,1.070291
-29.937106,4,1.092234
-29.910437,3,1.11166
-30.04409,3,1.127464
-34.630414,4,1.149916
-32.47903,5,1.177115
-32.847652,5,1.205622
-31.800849,4,1.226773
-29.510393,3,1.243405
-31.485498,4,1.264748
-29.512675,3,1.280744
-29.514425,3,1.297743
-35.667203,7,1.337337
-31.490244,4,1.359176
-29.527878,3,1.375926
-30.046221,3,1.393831
-30.000614,3,1.410565
-29.990963,3,1.42861
-29.888661,3,1.444856
-34.802752,6,1.478234
-29.807049,3,1.494982
-34.855341,4,1.515626
-30.050601,3,1.533529
-31.970467,5,1.561041
-29.516744,3,1.577211
-29.886816,3,1.596497
-30.624048,4,1.618756
-32.371333,5,1.648917
-35.245137,5,1.677507
-34.84214,4,1.69759
-31.35137,4,1.719992
-31.449343,4,1.741991
-29.898856,3,1.758019
-34.319846,6,2.169831
-29.904794,3,2.187676
-29.375231,3,2.20539
-31.357554,4,2.227373
-31.523921,5,2.25764
-29.998637,3,2.274444
-30.049534,3,2.291435
-30.701201,4,2.314706
-29.888059,3,2.332247
-29.529221,3,2.350265
-29.516067,3,2.367158
-30.047772,3,2.385135
-32.427741,5,2.41241
-32.49764,5,2.440224
-31.345585,4,2.463544
-31.140252,4,2.485458
-29.865224,3,2.501527
-29.873084,3,2.51893
-32.71067,5,2.546028
-29.511543,3,2.56449
-29.509549,3,2.581777
-34.63459,4,2.606172
-32.605103,5,2.634136
-34.524886,4,2.656474
-30.031382,3,2.672676
-29.811005,3,2.68918
-31.080694,4,2.711712
-31.441906,4,2.733866
-31.432642,4,2.755884
-28.165414,3,2.772176
-32.33263,5,2.799363
-31.404525,4,2.821534
-30.042133,3,2.83809
-31.350377,4,2.860521
-29.822716,3,2.876855
-29.906473,3,2.893763
-36.242236,7,2.934243
-30.901657,4,2.956673
-30.606272,4,2.979444
-32.85111,5,3.007849
-33.47267,6,3.04092
-30.045995,3,3.05825
-31.416495,4,3.081836
