#{"t_start": 1765382135.404754, "env_id": "None"}
r,l,t
5.521801,15,0.605794
34.586824,15,0.691291
-1.73682,15,0.778379
-34.482855,8,0.823111
-72.074014,13,0.894424
4.356459,15,0.978666
13.067234,15,1.067112
-18.64111,8,1.117738
-110.30093,11,1.188092
-60.361936,9,1.238741
-39.788542,7,1.27873
-37.769943,14,1.35756
-43.983171,5,1.385898
-28.351749,5,1.413535
-7.655273,15,1.497751
-7.094319,15,1.583063
-70.687133,11,1.643101
-6.27252,10,1.699021
7.65621,15,1.780689
2.904373,15,2.246216
-42.488585,11,2.310466
-7.889693,13,2.386414
-76.433102,11,2.446909
-10.627244,14,2.523977
-52.689517,15,2.609758
-31.125552,13,2.682936
-37.252981,9,2.732764
-57.288867,6,2.766684
-15.265302,5,2.794865
-16.854425,11,2.860691
6.835627,15,2.942838
-18.976703,15,3.026516
-37.764596,8,3.071015
11.267091,13,3.142714
-96.920167,11,3.202483
-32.221211,8,3.246697
-53.813463,7,3.287783
-31.141339,14,3.365548
26.68242,15,3.450799
-1.596689,15,3.84477
-40.620112,9,3.893441
-54.955298,13,3.966298
-44.127254,11,4.027407
-31.465677,8,4.071599
41.682162,15,4.157554
-5.182834,15,4.241786
-16.388195,15,4.326471
-38.91767,8,4.371161
-41.45908,8,4.416927
-4.726808,15,4.501239
-53.445006,13,4.57543
-12.755086,13,4.647355
-20.60176,12,4.715686
33.834735,15,4.800599
-21.237563,12,4.867542
-14.932172,9,4.91801
-25.743052,15,5.001533
-43.9329,15,5.396615
-20.591512,12,5.462987
11.512312,15,5.546859
-70.096934,8,5.59212
-26.284865,12,5.658467
22.87936,15,5.74125
9.539167,15,5.825949
-108.849168,14,5.904426
-37.551543,7,5.943848
-16.243928,14,6.020019
-49.497077,10,6.075215
11.783354,15,6.162618
-26.628297,8,6.207969
-24.979451,10,6.263279
-60.293703,11,6.327091
-102.621098,6,6.361421
-28.373343,5,6.389409
-45.449374,6,6.422144
-56.817643,8,6.467001
-33.792692,7,6.506325
24.932024,15,6.58989
27.039989,15,6.997641
4.455651,15,7.083485
-31.009801,6,7.119156
-35.754476,12,7.187228
-32.33304,9,7.237791
-49.46207,11,7.300186
3.242072,15,7.38614
-33.026221,10,7.441043
-19.303173,12,7.514021
33.678461,15,7.597255
6.367748,15,7.680773
-52.83324,8,7.726729
-23.830246,7,7.765054
44.56125,15,7.848577
-23.283295,10,7.904982
-33.052686,8,7.950917
-10.053817,11,8.011504
-52.689521,15,8.094367
-54.181556,8,8.139433
-48.243477,7,8.178639
-6.545259,15,8.574873
-40.317829,6,8.607665
39.085445,15,8.691
41.239797,15,8.774633
-8.176527,11,8.837327
-43.480065,13,8.909078
45.497599,15,8.994082
26.679716,15,9.078846
-44.365783,11,9.13991
-6.260971,15,9.227371
30.208292,15,9.315984
-42.135929,14,9.396374
-69.314925,9,9.445404
44.149586,15,9.532573
-36.246644,9,9.587415
20.921432,15,9.673968
38.91061,15,9.767303
29.480432,15,10.160776
-47.548563,9,10.215345
-41.322981,7,10.255296
-32.851945,8,10.301633
-54.159264,12,10.3706
-23.317241,8,10.415539
-42.012276,8,10.460855
-31.136933,9,10.511809
-27.103705,15,10.597948
-45.148714,9,10.649652
-24.892949,7,10.689858
-25.622216,9,10.741149
-55.684267,8,10.785781
5.512638,15,10.875736
-48.472442,14,10.955914
-33.024142,11,11.018763
26.060597,15,11.104936
14.869751,15,11.190104
-27.822146,10,11.248324
-32.046534,10,11.305332
36.565,15,11.392653
-9.334396,6,11.96736
-25.083232,13,12.043748
15.006981,15,12.13029
-23.116365,15,12.215048
35.905892,15,12.302937
38.235045,15,12.390865
47.770325,15,12.477388
5.910352,15,12.564353
4.696561,15,12.653728
-39.348778,12,12.723153
-12.161738,14,12.804195
41.994391,15,12.891234
