#{"t_start": 1765375820.113182, "env_id": "None"}
r,l,t
-64.881176,4,0.562954
-80.380381,6,0.596698
-54.156592,3,0.613693
-45.196327,8,0.662051
-47.665913,3,0.680466
-63.255813,5,0.708751
-53.878407,3,0.725324
-59.376326,5,0.75389
-60.441516,3,0.77126
-87.721446,6,0.803927
-66.66856,3,0.821951
-66.956316,3,0.837909
-60.581873,3,0.858108
-46.686956,3,0.875229
-40.986092,6,0.907121
-89.07782,4,0.930488
-60.534748,3,0.947041
-66.944083,3,0.963312
-64.820203,3,0.980677
-79.66133,3,0.997582
-41.290847,10,1.052232
-66.873518,3,1.069544
-72.790424,4,1.09205
-47.669256,3,1.108498
-63.790446,3,1.123969
-45.278794,4,1.145148
-71.156572,4,1.166871
-60.549138,3,1.185225
-47.464002,3,1.203928
-76.387279,5,1.233227
-48.982797,3,1.25222
-51.119936,3,1.270206
-51.447742,4,1.293556
-48.120758,6,1.328311
-60.455318,3,1.346272
-38.263903,8,1.392933
-46.575781,6,1.427861
-46.053597,3,1.446379
-47.666522,3,1.464031
-84.040501,4,1.49522
-60.515849,3,1.517819
-61.323275,6,1.549315
-43.218944,7,1.588321
-63.34887,4,1.609449
-45.116521,4,1.630803
-60.462395,3,1.648263
-54.791608,7,1.689847
-47.692553,3,1.706315
-43.799198,4,1.728078
-58.131011,4,1.74829
-44.615352,4,1.770113
-40.577965,7,1.809607
-70.977805,4,1.831576
-48.388909,6,2.263799
-71.345458,4,2.284986
-79.701707,3,2.301715
-44.549009,5,2.33056
-51.660679,4,2.352628
-82.764909,4,2.373878
-60.406332,3,2.390189
-44.333604,5,2.417612
-49.415201,6,2.449844
-47.760288,3,2.466837
-66.795771,4,2.489447
-63.469392,4,2.511734
-48.380214,6,2.545864
-42.166654,5,2.57516
-90.216884,4,2.597124
-79.724878,3,2.614019
-57.095304,4,2.636193
-63.502404,4,2.657138
-71.488562,4,2.680514
-47.716679,3,2.702502
-82.728108,4,2.723461
-60.066881,6,2.756572
-44.32805,5,2.78418
-52.291339,3,2.800831
-66.880096,3,2.818354
-51.105574,5,2.846975
-60.455982,3,2.864792
-60.249826,3,2.881858
-45.789446,3,2.8992
-51.435437,4,2.920768
-54.048912,4,2.942672
-66.978654,3,2.959406
-69.883925,4,2.982587
-53.916471,3,2.999183
-55.448772,3,3.016118
-47.47696,3,3.032691
-44.295854,5,3.062226
-60.46463,3,3.078809
-69.919077,4,3.100655
-51.39858,4,3.121859
-58.186947,3,3.13813
-66.328209,3,3.154145
-47.43212,3,3.171039
-61.150446,4,3.192414
-50.796383,4,3.213548
-90.183984,4,3.234741
-44.336439,4,3.257992
-42.05037,4,3.280097
-63.491389,4,3.30225
-47.716018,3,3.319934
-63.245098,5,3.34842
-60.249412,3,3.365843
-41.209976,6,3.398758
-66.673032,3,3.416813
-47.696554,3,3.434517
-45.337376,8,3.478164
-71.403495,4,3.819963
-51.15233,9,3.871898
-47.632961,3,3.889792
-45.560022,5,3.917328
-51.815172,4,3.939106
-60.463241,3,3.957121
-63.26856,4,3.980062
-55.057716,3,3.997077
-47.658598,3,4.013798
-64.971829,4,4.037117
-45.969479,4,4.059456
-51.720546,4,4.081909
-65.123122,6,4.11467
-42.267877,5,4.142908
-50.438556,9,4.193343
-60.490924,3,4.209545
-55.758294,4,4.231229
-57.055756,5,4.260805
-90.240719,4,4.281863
-84.224243,6,4.3163
-45.073075,4,4.338001
-34.163346,10,4.395222
-79.693844,3,4.412472
