#{"t_start": 1765373842.6000059, "env_id": "None"}
r,l,t
-74.707366,3,0.575024
-83.685491,4,0.59757
-83.07821,4,0.620787
-92.391285,6,0.657152
-74.85662,3,0.673184
-74.848387,3,0.692061
-74.856314,3,0.712465
-85.46738,5,0.767509
-80.988455,4,0.794211
-94.063298,6,0.829756
-71.243409,3,0.847425
-87.633419,5,0.878445
-74.847754,3,0.897475
-101.490068,7,1.061954
-80.964268,4,1.085568
-78.827983,4,1.106035
-102.800475,8,1.150006
-74.847073,3,1.166582
-73.493277,3,1.183295
-74.845709,3,1.200641
-81.049049,4,1.222121
-74.853253,3,1.238543
-87.4841,5,1.266563
-74.281969,3,1.282973
-74.12106,3,1.300312
-81.036478,4,1.322276
-96.167239,6,1.354935
-83.670309,4,1.378792
-87.28503,5,1.407035
-74.326228,3,1.424527
-74.848687,3,1.441594
-95.068593,6,1.474416
-82.302947,4,1.494449
-83.359055,4,1.517095
-95.608494,6,1.549717
-74.693932,3,1.566292
-83.100322,4,1.587979
-74.664016,3,1.604893
-82.513143,4,1.627479
-74.721138,3,1.64272
-93.335802,7,1.680763
-87.189638,5,1.708477
-99.783549,7,1.747704
-85.158498,5,1.788618
-74.700125,3,1.80389
-87.817222,5,1.831322
-82.402575,5,1.859593
-83.370538,4,1.881286
-77.924694,4,1.902285
-81.037566,4,1.924278
-125.799382,11,1.983837
