#{"t_start": 1764831538.902499, "env_id": "None"}
r,l,t
-4.589798,5,0.803767
-4.454221,5,0.809066
6.719778,6,0.815477
-13.556573,4,0.81918
-14.948728,4,0.822673
-14.016378,4,0.826685
54.55995,11,0.837076
-12.649116,4,0.841091
0.807842,6,0.846366
3.627947,6,0.851633
9.026782,7,0.857896
-13.720097,4,0.861862
-14.352103,4,0.865295
-5.64438,5,0.869567
6.36763,6,0.875267
4.23876,6,0.880665
-12.3002,4,0.884609
7.458693,6,0.890472
4.743053,6,0.895849
44.427251,10,0.904978
17.237146,7,0.911774
-13.761621,4,0.917224
1.716104,6,0.922404
16.050399,7,0.928946
-13.636126,4,0.932863
34.79438,9,0.941307
-14.944439,4,0.945025
-12.375045,4,0.948994
-3.712896,5,0.953773
-3.950046,5,0.958427
-15.312211,4,0.962074
6.292426,6,0.967701
-13.562163,4,0.97139
-6.555861,5,0.975852
-6.884473,5,0.980194
55.820984,11,0.990587
-3.078255,5,0.995462
34.774536,9,1.003611
1.028044,6,1.008878
-4.218957,5,1.013501
-2.001458,5,1.018472
-5.460652,5,1.023001
-15.405222,4,1.026641
-3.689062,5,1.031486
-15.847769,4,1.03512
-12.858199,4,1.039009
-8.22314,5,1.043346
-14.011401,4,1.047218
-4.462188,5,1.051966
-13.462582,4,1.055762
6.111795,6,1.06147
-4.676924,5,1.066057
5.1325,6,1.071452
15.648721,7,1.077953
1.600058,6,1.083228
63.584373,12,1.094163
15.575121,7,1.100749
4.104526,6,1.106046
-12.244761,4,1.110091
-1.988201,5,1.115002
-14.577008,4,1.11862
-13.538231,4,1.122602
13.166817,7,1.128792
-12.60336,4,1.13265
5.670631,6,1.138198
43.89681,10,1.147081
45.879776,10,1.156472
-13.797275,4,1.160326
-6.81109,5,1.164793
5.068654,6,1.170321
-2.877382,5,1.175245
10.331506,7,1.181411
13.08339,7,1.187588
6.289842,6,1.193145
5.035374,6,1.198645
13.057468,7,1.204778
6.179505,6,1.210433
-13.231645,4,1.214186
-14.122724,4,1.217929
-13.601175,4,1.221655
34.411864,9,1.229815
-12.976435,4,1.233725
-17.149372,4,1.237116
-6.647388,5,1.241442
31.761521,9,1.249449
-2.802579,5,1.254323
13.076367,7,1.260704
-13.497561,4,1.264458
6.702196,6,1.2703
-4.246581,5,1.274918
-13.523354,4,1.278651
-13.446535,4,1.282645
-4.314546,5,1.28732
5.778175,6,1.292957
24.984387,8,1.300333
-22.205163,3,1.303356
-4.468343,5,1.308022
6.033627,6,1.313785
-4.348317,5,1.318597
4.173585,6,1.323911
-13.261685,4,1.327766
-13.546166,4,1.331507
-13.413841,4,1.335359
-12.987431,4,1.339209
5.787001,6,1.344737
-3.266503,5,1.349513
-13.021754,4,1.35335
74.707577,13,1.365477
-12.576149,4,1.369493
6.999549,6,1.375272
5.12745,6,1.380967
5.027007,6,1.38639
15.922285,7,1.392925
