#{"t_start": 1764848304.1273, "env_id": "None"}
r,l,t
39.433323,6,0.657263
1.083199,4,0.663315
21.175566,5,0.668015
1.465077,4,0.671527
1.407434,4,0.675097
0.222411,4,0.678416
0.767738,4,0.682572
21.399461,5,0.686916
18.586498,5,0.693448
99.219879,9,0.701275
1.211764,4,0.704965
20.815848,5,0.710098
2.339788,4,0.714053
79.999595,8,0.721225
1.53523,4,0.725134
140.292761,11,0.73573
41.22483,6,0.741277
21.107217,5,0.745726
19.417013,5,0.749856
19.765462,5,0.753996
1.151716,4,0.757638
21.647206,5,0.762857
139.01881,11,0.773368
21.09941,5,0.77889
79.144272,8,0.78671
59.877261,7,0.79392
20.92207,5,0.79912
37.563625,6,0.804504
1.973592,4,0.808783
0.431419,4,0.812808
60.03621,7,0.819245
95.111643,9,0.827441
0.136869,4,0.831146
22.264044,5,0.836251
21.278922,5,0.841875
2.335181,4,0.845908
0.500336,4,0.849298
116.012703,10,0.857858
20.770873,5,0.862833
19.920398,5,0.867282
1.246605,4,0.870869
2.277211,4,0.874531
19.845812,5,0.878842
80.547507,8,0.885895
60.623372,7,0.891974
0.854251,4,0.89575
60.60278,7,0.901808
41.83246,6,0.907183
177.556578,13,0.918186
0.955723,4,0.92179
136.879456,11,0.931492
0.902708,4,0.935007
1.267549,4,0.938735
19.067491,5,0.942934
59.920359,7,0.94892
56.382172,7,0.954634
1.983915,4,0.958224
20.118164,5,0.962474
-0.142189,4,0.965722
39.912405,6,0.970769
20.329877,5,0.975349
36.309262,6,0.980313
1.938557,4,0.983949
20.581203,5,0.988361
41.795781,6,0.993761
99.512265,9,1.001545
21.057198,5,1.006076
14.251147,5,1.010133
21.304276,5,1.014737
1.751349,4,1.018297
61.94687,7,1.024736
-1.876158,4,1.028043
21.245468,5,1.032584
-0.377856,4,1.035942
17.771306,5,1.039963
60.831451,7,1.046187
40.125434,6,1.051238
2.878225,4,1.054903
61.473491,7,1.061021
19.906329,5,1.065233
59.862397,7,1.071294
42.378161,6,1.076805
57.326748,7,1.082584
1.516814,4,1.086128
79.285631,8,1.093132
20.134252,5,1.09742
2.169563,4,1.101015
79.599214,8,1.107796
-17.319176,3,1.110669
55.415064,7,1.116386
81.010946,8,1.123364
20.144134,5,1.127614
1.262649,4,1.131091
21.870964,5,1.135523
17.192082,5,1.139566
1.31689,4,1.143098
2.287011,4,1.146817
1.501956,4,1.1504
2.509272,4,1.154147
-0.283337,4,1.15757
40.082681,6,1.162877
58.722328,7,1.168907
21.856412,5,1.1734
14.540464,5,1.177458
20.669918,5,1.181811
20.74328,5,1.186263
119.527679,10,1.194894
2.385541,4,1.198601
1.381289,4,1.202158
2.320276,4,1.205824
0.517413,4,1.209264
40.455121,6,1.214462
59.087667,7,1.220607
0.450648,4,1.224014
21.080028,5,1.228445
1.692962,4,1.232161
1.502332,4,1.235943
0.781644,4,1.239361
