#{"t_start": 1765373842.5925992, "env_id": "None"}
r,l,t
-74.294144,3,0.578833
-74.282501,3,0.597065
-113.272926,9,0.651628
-93.303463,6,0.683189
-74.739233,3,0.70264
-74.32116,3,0.728309
-70.16088,3,0.751935
-74.670458,3,0.786481
-74.702442,3,0.805089
-116.594411,10,0.863684
-74.742595,3,0.883151
-74.278662,3,0.901378
-74.852209,3,0.920016
-74.334684,3,1.059778
-87.836237,5,1.090087
-93.965509,6,1.121865
-82.510736,4,1.143898
-94.005059,6,1.176657
-83.878998,4,1.198892
-95.674017,7,1.23742
-87.489647,5,1.265129
-76.833893,4,1.287743
-98.551121,7,1.327217
-74.844387,3,1.343533
-84.609224,4,1.365415
-74.705562,3,1.383313
-74.31536,3,1.400914
-87.633871,5,1.42934
-84.131911,4,1.4517
-83.289598,4,1.474138
-74.74043,3,1.489378
-74.287042,3,1.504953
-74.662186,3,1.521939
-74.702272,3,1.53839
-81.103044,4,1.560123
-74.851728,3,1.576732
-87.125988,5,1.604028
-76.785527,4,1.62734
-82.913312,4,1.647363
-77.744678,4,1.670585
-87.632298,5,1.696433
-74.703575,3,1.713148
-74.661906,3,1.729809
-74.665766,3,1.746667
-96.603257,7,1.798287
-83.255482,4,1.818604
-74.722752,3,1.835886
-81.049506,4,1.858303
-83.670161,4,1.880702
-83.857071,4,1.901968
-74.328781,3,1.918454
-100.521595,7,1.955924
-72.495632,3,1.97243
-74.860139,3,1.988359
