#{"t_start": 1765372853.4156759, "env_id": "None"}
r,l,t
-37.372223,7,0.542545
-45.573351,12,0.612831
-33.736782,4,0.635576
-33.007101,4,0.662426
-32.698003,5,0.690457
-29.816676,3,0.70616
-33.941736,4,0.729021
-32.438339,5,0.756054
-30.314152,4,0.778344
-29.822202,4,0.800248
-31.441354,4,0.820872
-34.876475,4,0.841104
-28.851496,3,0.857601
-31.448816,4,0.879372
-33.612254,6,0.912803
-36.437739,7,0.954233
-32.945341,5,0.983815
-32.599564,5,1.011718
-29.996642,3,1.028932
-30.047667,3,1.045289
-32.401397,5,1.072663
-30.038317,3,1.091497
-31.980033,4,1.113336
-33.186671,5,1.141366
-27.591016,3,1.157429
-29.818177,3,1.173919
-30.739937,4,1.196397
-31.436683,4,1.218196
-30.03396,3,1.234274
-34.679413,6,1.266313
-31.348387,4,1.288607
-29.902303,3,1.304917
-36.262923,7,1.345172
-33.728995,4,1.366645
-31.44723,4,1.390475
-28.787836,3,1.408148
-30.571734,4,1.430752
-33.250134,5,1.45913
-31.398862,4,1.480293
-29.514037,3,1.497246
-32.796658,5,1.524427
-33.968286,4,1.546741
-34.490341,4,1.568061
-34.841829,4,1.593003
-33.156418,4,1.617924
-33.182124,5,1.645795
-37.419292,6,1.678714
-29.450751,3,1.695068
-31.38788,4,1.716343
-29.868267,3,1.733315
-31.501287,4,1.754757
-29.518862,3,2.149724
-29.820925,3,2.167208
-35.444017,7,2.207862
-37.333147,6,2.242345
-30.041751,3,2.259552
-30.050866,3,2.277227
-32.285493,5,2.30579
-29.902349,3,2.323141
-29.864025,3,2.34113
-29.811954,3,2.358027
-34.082743,4,2.381855
-32.678918,5,2.409403
-34.705235,7,2.448748
-32.257885,4,2.471756
-33.745059,4,2.492367
-33.723897,4,2.515489
-30.242353,5,2.543378
-29.999596,3,2.561905
-29.869936,3,2.578844
-29.98206,3,2.597633
-29.872304,3,2.614395
-29.109843,4,2.637045
-31.43513,4,2.658152
-31.379702,4,2.679993
-29.872574,3,2.69713
-31.444467,4,2.718968
-30.050393,3,2.736298
-33.569859,4,2.757427
-37.244042,7,2.796118
-32.598571,5,2.82369
-32.489031,5,2.851847
-31.445755,4,2.873809
-29.984154,3,2.890928
-34.073167,4,2.913626
-29.893026,3,2.931146
-29.916191,3,2.948118
-29.817382,3,2.965563
-31.499017,4,2.98736
-29.87733,3,3.004945
-31.446964,4,3.025821
-32.967532,4,3.049133
-29.521211,3,3.066818
-29.912173,3,3.087706
-31.480928,4,3.109862
-32.821171,5,3.138155
-29.876579,3,3.156133
-29.467473,3,3.17295
-37.179907,6,3.207219
-33.753326,4,3.229325
-29.509387,3,3.246617
-29.989998,3,3.263597
-32.482881,5,3.292386
-30.033487,3,3.309241
-29.86069,3,3.327239
-32.333657,5,3.355399
-32.944268,4,3.377992
-34.668382,6,3.415631
-29.896338,3,3.736169
-29.80771,3,3.752612
-31.45126,4,3.775169
-29.85413,3,3.792856
-29.529321,3,3.810593
-36.841559,6,3.844381
-32.483744,5,3.872656
-29.862563,3,3.890824
-29.883926,3,3.908048
-29.421939,3,3.925161
-29.903484,3,3.941767
-33.624766,4,3.963589
-34.093489,4,3.985401
-29.905137,3,4.002929
-31.934944,4,4.025448
-32.485181,5,4.054248
-29.895329,3,4.070961
-29.517695,3,4.088858
-29.439275,3,4.10636
-33.591513,4,4.127882
