#{"t_start": 1764870923.850469, "env_id": "None"}
r,l,t
-55.093375,4,0.56706
-31.235511,5,0.571573
-31.668482,5,0.576302
-32.634018,5,0.580804
-54.602618,4,0.584922
17.496898,7,0.591255
20.104164,7,0.5982
18.878314,7,0.605036
-7.963123,6,0.610606
-31.944765,5,0.615231
-53.846494,4,0.619267
-35.190149,5,0.623656
-53.836731,4,0.627491
-35.828143,5,0.631797
189.631272,14,0.644918
-31.60205,5,0.64946
-56.855087,4,0.653005
-55.386049,4,0.656655
-56.671777,4,0.660306
-31.861392,5,0.664646
-11.246416,6,0.669899
-33.145756,5,0.674244
-30.914838,5,0.679179
-31.917348,5,0.683741
17.835741,7,0.69022
-53.270557,4,0.694251
-55.389881,4,0.698029
-4.024092,6,0.703899
19.219183,7,0.710454
-77.240148,3,0.714288
-54.35915,4,0.718042
-31.379835,5,0.722707
-32.856115,5,0.727038
-8.040869,6,0.732349
-54.677227,4,0.736179
91.27639,10,0.745478
15.769233,7,0.75182
-31.865262,5,0.756277
-29.773484,5,0.761049
19.131097,7,0.7675
-5.98427,6,0.773055
16.86285,7,0.779246
39.473923,8,0.786375
-53.007831,4,0.790407
18.187929,7,0.796822
-78.148502,3,0.799872
-29.661063,5,0.804658
-54.966327,4,0.80844
-54.981051,4,0.812303
-7.316194,6,0.817664
-54.81599,4,0.821315
-28.247504,5,0.826286
-77.71854,3,0.829372
18.882154,7,0.835796
-30.578821,5,0.840482
18.686704,7,0.846961
-5.026339,6,0.852483
-54.687577,4,0.856504
-4.947651,6,0.862202
61.763114,9,0.870255
-35.785557,5,0.874584
-53.057935,4,0.878628
-4.341268,6,0.884699
-5.457619,6,0.890894
-6.603945,6,0.896517
-30.196815,5,0.901376
-30.774608,5,0.906139
-29.629739,5,0.911028
-5.613191,6,0.916829
-32.031171,5,0.92151
-31.138749,5,0.926041
20.270021,7,0.932869
19.611669,7,0.939446
-60.292158,4,0.942882
19.295728,7,0.949439
-31.126154,5,0.954029
-7.372591,6,0.959559
91.247871,10,0.968811
-56.875856,4,0.972489
68.986752,9,0.980994
-31.630438,5,0.985644
-5.584042,6,0.991166
43.693082,8,0.998862
-55.644408,4,1.002494
