#{"t_start": 1765387522.268121, "env_id": "None"}
r,l,t
25.880779,15,0.769097
-87.100915,11,0.833261
-12.92024,13,0.9086
-19.499963,15,0.992207
-23.325965,8,1.036217
-44.601494,6,1.070113
-65.324985,15,1.17561
41.38877,15,1.296342
-26.963419,8,1.341604
-39.258235,8,1.385449
33.103174,15,1.469216
-23.698803,6,1.503671
-64.906891,6,1.537588
30.285495,15,1.622256
-61.234777,9,1.671868
-127.305958,15,1.75488
-88.090009,11,1.815623
-79.779504,9,1.865805
-51.598935,9,1.914236
-38.524833,10,1.983542
-58.875706,6,2.026328
5.538506,15,2.539758
-34.264588,11,2.602568
0.723582,15,2.686424
-51.19274,14,2.76471
-96.120496,10,2.821013
-44.798228,11,2.888822
-45.935285,12,2.956671
-8.014922,14,3.035715
-24.082943,8,3.082862
-13.696234,15,3.167703
-62.987087,8,3.222202
-73.720816,12,3.291388
-24.352995,15,3.377317
23.951726,15,3.462846
-10.806569,15,3.549869
-31.786497,6,3.586367
-72.569699,8,3.632451
34.433165,15,3.740696
27.817941,15,4.204021
-59.195371,10,4.262151
46.620237,15,4.365059
1.023997,15,4.483149
-19.38738,10,4.546226
-42.57904,12,4.616872
-7.611637,15,4.711912
39.950296,15,4.798732
-14.457562,10,4.855677
-36.562528,6,4.890462
-51.754536,9,4.943859
-41.650358,5,4.972374
-59.924876,9,5.028297
20.874163,15,5.128179
15.512829,15,5.223033
11.112976,15,5.313584
31.393878,15,5.402927
-3.02781,14,5.498364
-68.964004,12,5.87999
-15.539233,15,5.966093
17.355355,15,6.053567
18.011041,15,6.140016
-52.568078,13,6.213065
39.847265,15,6.300807
-48.608868,6,6.334711
-48.539964,7,6.373783
3.309752,15,6.461424
-77.907521,5,6.489193
-80.396138,10,6.553543
14.056146,15,6.636662
-54.416386,9,6.687377
-46.671381,6,6.720553
-39.228041,9,6.771116
-27.518452,11,6.83612
-28.79073,6,6.870263
11.30616,15,6.957008
32.645326,15,7.041725
-12.338934,11,7.108475
27.154154,15,7.518342
-38.348546,13,7.592141
-57.188068,11,7.658314
-45.565128,10,7.715146
-45.092608,13,7.789198
-42.063958,14,7.868661
-26.468312,7,7.90812
-18.990942,12,7.982389
-43.49082,15,8.067299
21.651006,15,8.154714
-29.995989,9,8.205859
-16.802006,8,8.250706
29.022213,15,8.339347
26.802431,15,8.423148
-28.060922,5,8.45216
-26.02267,13,8.527084
-32.197059,8,8.5712
-31.221188,8,8.616061
-59.178532,10,8.67106
18.319923,15,8.75622
-30.061469,13,9.143157
14.422891,15,9.229163
-31.538407,7,9.269093
-39.265609,10,9.327332
-32.784303,6,9.361233
-26.043061,11,9.422757
-49.041495,11,9.483923
-50.296754,11,9.545506
-1.881813,10,9.601278
2.872222,15,9.686495
-5.861003,10,9.743101
-63.611421,11,9.806087
-13.033821,13,9.879365
5.042517,15,9.964965
-13.811069,10,10.021076
-38.382926,13,10.094495
-37.454119,7,10.135563
13.419506,15,10.220125
33.42907,15,10.306669
-4.594679,15,10.698279
10.679175,15,10.782766
-27.98596,10,10.839921
4.344818,15,10.925146
-18.347249,9,10.975994
30.526461,15,11.059309
-9.902578,8,11.104883
38.387171,15,11.194271
41.498602,15,11.278788
-33.511383,10,11.335371
-51.321446,15,11.4236
-36.125792,14,11.501484
-43.027848,13,11.572917
28.425293,15,11.66179
-38.598243,15,11.744415
23.892406,15,11.828757
11.885764,15,11.911921
23.913232,15,12.309358
-12.929325,12,12.376722
18.56216,15,12.460795
-26.639712,7,12.499014
-25.346649,12,12.567275
39.256546,15,12.651298
-13.808998,11,12.713807
34.591037,15,12.795984
19.573525,15,12.881722
-15.693237,9,12.932145
27.137016,15,13.015524
-24.340261,8,13.060236
-11.761519,12,13.126949
49.686568,15,13.210146
-31.241147,10,13.266477
-35.206335,12,13.332876
18.749845,15,13.416626
-35.243777,14,13.495327
-20.44818,11,13.86219
19.147768,15,13.947747
-28.452449,6,13.981893
-31.731032,15,14.067648
-0.10661,15,14.153197
45.906673,15,14.23804
-35.120285,8,14.283142
-63.920667,12,14.354392
44.104332,15,14.442282
38.640189,15,14.529345
4.5462,15,14.61668
28.5085,15,14.70788
-14.938731,15,14.794591
-33.892537,10,14.8525
-58.505291,10,14.910101
12.354058,15,14.998432
26.644942,15,15.085192
-18.561324,12,15.465323
48.477775,15,15.552446
41.938584,15,15.638194
6.728795,15,15.723881
33.687034,15,15.810149
20.754965,15,15.89647
41.343679,15,15.98252
37.607181,15,16.071373
-37.856464,9,16.123684
13.815326,15,16.212172
16.800757,15,16.297958
-11.792509,11,16.359973
12.92861,15,16.44339
-44.488916,14,16.521309
-38.059269,10,16.57821
-19.480999,10,16.634326
40.94748,15,16.720947
23.59649,15,17.11913
26.984361,15,17.206134
30.382427,15,17.295984
28.860202,15,17.383047
47.328186,15,17.473256
-14.837588,7,17.513157
-0.024722,15,17.660673
31.766326,15,17.755614
30.363812,15,17.846606
-19.073436,12,17.917112
42.420825,15,18.007677
25.502789,15,18.10801
19.633904,15,18.202865
4.503929,15,18.296814
52.097567,15,18.393355
29.856845,15,18.799584
52.554407,15,18.88847
2.034124,14,18.969954
35.182875,15,19.056133
5.626818,11,19.120165
26.166098,15,19.208949
26.359875,15,19.295971
30.366214,15,19.381779
-11.870847,6,19.416992
30.959265,15,19.502689
-20.947531,5,19.531413
19.764073,15,19.616901
-5.000505,11,19.680286
41.185854,15,19.765968
28.108392,15,19.852604
-17.121649,8,19.89929
-24.442359,9,19.950807
37.228196,15,20.037855
20.388908,15,20.432759
40.163204,15,20.520647
32.147581,15,20.64789
46.965827,15,20.806784
34.55819,15,20.949793
17.753287,15,21.079279
31.030521,15,21.196685
32.036844,15,21.29847
44.490972,15,21.385225
18.184962,15,21.471746
39.655928,15,21.560858
-25.147477,14,21.648525
31.681092,15,21.735802
51.96563,15,21.821504
30.064168,15,21.911904
37.434868,15,22.321102
34.412237,15,22.407444
7.982867,15,22.49829
47.148942,15,22.583876
26.508913,15,22.669569
32.959298,15,22.764423
48.495765,15,22.875961
40.545039,15,22.962368
47.36181,15,23.047735
41.963154,15,23.134585
37.519151,15,23.220605
37.252504,15,23.305231
34.760874,15,23.390128
35.867064,15,23.475782
47.902245,15,23.560143
25.170585,15,23.948795
41.575166,15,24.03475
45.197701,15,24.120731
50.797836,15,24.20678
45.578858,15,24.291897
22.087547,15,24.378305
18.689257,15,24.46423
32.290073,15,24.549547
48.508395,15,24.636186
37.75331,15,24.721818
40.156745,15,24.807511
38.877975,15,24.893304
34.7568,15,24.979094
46.314415,15,25.065195
-8.623673,6,25.098768
4.724364,15,25.185424
41.490754,15,25.573599
28.962198,15,25.65942
19.522054,15,25.745043
51.354628,15,25.830225
43.618647,15,25.915617
31.462534,15,26.00041
48.937975,15,26.085987
25.569819,15,26.171492
48.853028,15,26.257493
24.361365,15,26.34341
37.687579,15,26.429231
29.992255,15,26.514418
31.771713,15,26.599396
2.214631,12,26.671266
49.403224,15,26.75578
22.576238,15,27.155727
48.617722,15,27.242705
48.534223,15,27.328191
33.899414,15,27.413958
38.617564,15,27.499455
49.560952,15,27.584338
28.617022,15,27.668868
45.715605,15,27.75396
36.926347,15,27.83908
53.310832,15,27.923984
44.26131,15,28.008769
33.521797,15,28.093411
43.552157,15,28.181053
31.492759,15,28.266445
49.500417,15,28.351045
42.86324,15,28.738401
53.680194,15,28.82435
32.157305,15,28.909964
41.137774,15,28.997455
49.036168,15,29.084153
51.559881,15,29.169671
40.859556,15,29.255835
34.518393,15,29.341613
43.257382,15,29.426749
53.461914,15,29.512344
43.941089,15,29.597774
-10.736395,7,29.638619
43.194139,15,29.723833
43.437889,15,29.809142
46.504853,15,29.894797
41.563809,15,29.979797
42.635797,15,30.368757
43.524234,15,30.45586
46.36022,15,30.542152
52.828576,15,30.628983
43.599035,15,30.715453
45.695608,15,30.801437
52.90914,15,30.888211
49.545381,15,30.97466
10.535798,15,31.060341
38.330328,15,31.146998
21.202367,15,31.232638
47.516534,15,31.317449
48.495492,15,31.401931
52.061875,15,31.486529
39.433905,15,31.571761
45.844848,15,31.957211
52.464167,15,32.042025
31.17321,15,32.131042
56.092072,15,32.216912
52.266613,15,32.303132
47.177638,15,32.388673
45.709763,15,32.475198
39.458908,15,32.561283
50.451783,15,32.647713
44.347957,15,32.733642
49.169376,15,32.819505
47.039583,15,32.90535
52.65792,15,32.992031
55.290018,15,33.07764
29.761104,15,33.163049
42.22106,15,33.559958
49.583435,15,33.645399
52.911302,15,33.731424
52.319832,15,33.817026
42.805072,15,33.902719
52.008639,15,33.98818
45.895153,15,34.073749
44.455231,15,34.158808
43.752035,15,34.244829
53.77712,15,34.33052
55.444718,15,34.416105
49.681016,15,34.501456
45.719994,15,34.586584
52.711198,15,34.671712
43.991364,15,34.756545
52.300871,15,35.144636
47.960001,15,35.231229
50.443466,15,35.317252
48.437154,15,35.404102
48.218127,15,35.491189
38.948155,15,35.577748
50.588638,15,35.664199
56.021719,15,35.752173
54.42157,15,35.838729
53.380254,15,35.925457
49.284575,15,36.011968
46.994513,15,36.098375
40.354078,15,36.186914
38.41913,15,36.273603
54.151538,15,36.359714
39.798304,15,36.747099
56.249027,15,36.833124
44.227236,15,36.919039
44.475962,15,37.004685
47.276264,15,37.091706
42.288461,15,37.178327
34.602929,15,37.264356
52.780892,15,37.350479
47.387247,15,37.436052
45.959895,15,37.522586
50.527352,15,37.608497
55.559208,15,37.694288
48.817545,15,37.779843
42.482387,15,37.865478
52.952353,15,37.95095
49.407865,15,38.38076
53.515055,15,38.484674
49.537395,15,38.569704
56.500637,15,38.656242
51.195567,15,38.740379
49.155736,15,38.824324
47.470644,15,38.908716
45.946024,15,38.99299
48.037505,15,39.077415
42.377917,15,39.162024
55.840803,15,39.246734
56.08269,15,39.330838
49.304809,15,39.414954
49.944941,15,39.498779
43.568885,15,39.583342
52.771675,15,39.973196
56.429003,15,40.059136
53.43128,15,40.144884
55.290509,15,40.23116
55.446099,15,40.316613
55.871112,15,40.401931
48.036763,15,40.487539
48.382228,15,40.572787
51.160805,15,40.658183
54.049508,15,40.746653
35.320902,15,40.837012
49.341223,15,41.02462
56.212689,15,41.112901
46.802623,15,41.203015
47.773813,15,41.290282
44.353924,15,41.899174
57.271032,15,41.994224
57.102065,15,42.088012
40.293936,15,42.178177
51.467565,15,42.266657
53.914226,15,42.352829
45.118267,15,42.437861
53.150113,15,42.523018
55.461582,15,42.608063
48.789592,15,42.695551
50.53379,15,42.782851
54.489734,15,42.870094
55.328863,15,42.955925
41.00513,15,43.043204
50.179673,15,43.135546
49.067744,15,43.531005
49.927756,15,43.617339
49.537024,15,43.703772
53.504745,15,43.79384
47.196666,15,43.880386
55.922017,15,43.968527
48.150909,15,44.055972
49.510291,15,44.142324
48.486624,15,44.229654
46.95462,15,44.316259
54.574745,15,44.402191
51.152651,15,44.489733
54.929256,15,44.579869
53.666501,15,44.667251
52.181714,15,44.75475
56.045495,15,45.141544
52.706385,15,45.237067
