#{"t_start": 1765375820.109633, "env_id": "None"}
r,l,t
-50.925153,4,0.564487
-66.657956,3,0.580583
-60.4319,3,0.596576
-66.685245,3,0.61412
-60.455154,3,0.63211
-57.038901,5,0.663207
-76.227846,5,0.69237
-57.118557,4,0.715139
-64.716172,3,0.731911
-57.015149,5,0.760531
-51.377846,4,0.7834
-60.228717,3,0.8
-37.924537,8,0.844211
-82.692329,4,0.869678
-66.936846,3,0.887429
-110.148461,4,0.908291
-54.156004,3,0.926255
-53.892323,3,0.942139
-76.005873,5,0.969662
-47.668783,3,0.9873
-54.147876,3,1.004336
-60.52581,3,1.019606
-45.9871,5,1.047826
-69.913632,4,1.070329
-60.424046,3,1.08789
-45.05477,4,1.109228
-64.593468,4,1.129729
-90.196584,4,1.151255
-71.010751,4,1.172728
-60.241366,3,1.192389
-53.875397,3,1.210817
-109.311958,4,1.233798
-79.481903,3,1.252494
-50.419657,5,1.282516
-47.694218,3,1.300739
-60.461448,3,1.318527
-44.48926,5,1.346899
-80.705779,4,1.370698
-47.682535,3,1.387976
-54.06029,3,1.405666
-76.99693,4,1.428548
-66.649745,3,1.445257
-66.083822,4,1.470345
-47.664424,3,1.493475
-60.53606,3,1.51815
-48.900606,4,1.539605
-60.239889,3,1.555647
-47.759681,3,1.572881
-79.717303,3,1.589547
-45.87499,6,1.621009
-60.411304,3,1.637488
-47.893365,6,1.671309
-44.452957,12,1.739773
-51.945181,4,1.759989
-58.345453,4,1.782069
-54.060157,3,1.799443
-90.716009,4,1.82178
-71.366284,4,2.238343
-60.432967,3,2.25659
-44.630977,4,2.281171
-66.858162,4,2.30184
-63.454863,4,2.325688
-44.190541,5,2.353899
-47.453772,3,2.369487
-85.41925,4,2.3909
-50.750319,4,2.411944
-51.940619,4,2.434286
-79.75029,3,2.451114
-63.219797,7,2.490788
-44.364331,4,2.512857
-47.728221,3,2.529354
-47.732284,3,2.547126
-63.289464,5,2.57554
-47.658096,3,2.592741
-51.463207,3,2.608469
-47.765737,3,2.626183
-58.354666,4,2.647122
-47.603389,3,2.664026
-47.67857,3,2.68173
-47.461137,3,2.702851
-57.097566,5,2.729804
-66.695575,3,2.745852
-66.825568,3,2.763133
-66.928318,3,2.779862
-59.86043,3,2.796074
-47.432908,3,2.813138
-44.161505,5,2.842403
-49.626331,4,2.86524
-60.460633,3,2.882569
-66.99742,3,2.899555
-50.7879,4,2.922032
-60.44935,3,2.938537
-77.946005,4,2.960109
-66.928526,3,2.977597
-55.10687,4,3.000461
-90.145213,4,3.021999
-86.640278,6,3.056762
-47.731942,3,3.074366
-56.649696,3,3.090646
-53.823283,3,3.10732
-66.696253,3,3.122844
-82.5048,6,3.154808
-83.711422,4,3.177127
-64.172614,3,3.193967
-44.324316,4,3.214862
-76.374389,5,3.241617
-60.284125,3,3.258987
-45.408263,4,3.280959
-56.87654,5,3.309393
-63.460405,4,3.332139
-61.634867,13,3.40534
-50.759893,4,3.42881
-50.771727,4,3.451673
-70.901166,4,3.4742
-47.501366,3,3.490788
-53.797009,3,3.827197
-37.148754,6,3.861284
-60.175673,3,3.87889
-79.693434,3,3.896385
-41.057867,4,3.918104
-45.001134,4,3.940652
-60.565471,3,3.957687
-47.318936,5,3.986699
-45.423327,4,4.009144
-90.541837,4,4.032137
-66.939702,3,4.049834
-79.688393,3,4.06607
-47.649593,3,4.082933
-76.879407,3,4.099352
-83.695915,4,4.120458
-47.458106,4,4.143566
-58.343203,4,4.165839
-66.80128,3,4.182593
-47.855873,3,4.199958
-60.251503,3,4.216218
-63.240936,5,4.244339
-47.63769,3,4.261415
-70.99662,4,4.282983
-66.835678,3,4.299535
-56.984681,5,4.328439
-60.35939,3,4.344603
-56.891549,5,4.372751
-47.733736,3,4.390568
-60.188778,3,4.407833
-47.428791,3,4.424697
-89.200813,4,4.448019
-63.03833,4,4.470701
-48.089143,3,4.488923
-51.713928,4,4.510155
-47.726425,3,4.527781
-50.701085,4,4.54988
-60.224953,3,4.5679
-60.528202,3,4.585224
-60.385875,3,4.602202
-60.517178,3,4.62022
-60.981525,6,4.65374
-52.541004,5,4.682441
-37.591902,8,4.732452
-44.867478,8,4.77737
-60.47259,3,4.794113
-76.238495,5,4.821955
-87.647304,4,4.844341
-39.695642,4,4.867677
-47.662581,3,4.88564
-62.469438,8,4.93073
-60.450894,3,4.947687
-47.730691,3,4.963529
-79.720262,3,4.981527
-57.138355,4,5.005042
-54.024449,3,5.021723
-43.972048,5,5.050416
-46.212665,4,5.073476
-40.456034,6,5.423863
-57.123096,4,5.446566
-66.901909,3,5.463693
-60.512334,3,5.481806
-90.670654,4,5.504478
-75.119217,4,5.526854
-68.267754,6,5.558996
-66.852798,3,5.576745
-44.404954,4,5.59924
-42.123573,6,5.632252
-47.749357,3,5.648793
-69.867775,4,5.67033
-57.147909,4,5.693926
-64.958767,4,5.715861
-56.609723,3,5.735395
-58.454564,3,5.755241
-47.714409,3,5.771917
-47.666337,3,5.789217
-43.337153,4,5.811284
-42.329124,6,5.843353
-60.531386,3,5.859431
-66.888252,3,5.87614
-48.901544,4,5.89916
-63.117533,5,5.926762
-60.572804,3,5.944623
-81.344549,10,5.999466
-44.334252,4,6.021394
-66.96831,3,6.038403
-51.910433,4,6.05978
-47.55915,3,6.076358
-61.770852,3,6.094491
-81.097625,4,6.11571
-54.116117,3,6.132228
-47.812248,3,6.150669
-69.463909,4,6.174049
-60.434979,3,6.191829
-44.458684,5,6.220069
-58.281524,4,6.243017
-82.647991,4,6.264847
-47.480105,3,6.281857
-58.476984,4,6.305352
-47.674195,3,6.322575
-49.366211,4,6.344367
-44.098057,5,6.372002
-52.832408,4,6.394811
-48.283677,6,6.427201
-60.49315,3,6.443307
-60.225549,3,6.460087
-76.115998,5,6.487598
-47.64689,3,6.504177
-66.870774,3,6.520653
-60.494878,3,6.537721
-54.016982,3,6.554407
-50.745389,4,6.577402
-60.490008,3,6.596816
-60.049725,7,6.635094
-47.673573,3,6.65526
-79.478905,6,7.007177
-79.242558,7,7.046251
-51.771442,4,7.068345
-54.801804,4,7.089855
-54.047882,3,7.107402
-44.119652,5,7.135211
-47.699933,3,7.152255
-66.966946,3,7.169138
-47.678325,3,7.187216
-50.699249,4,7.211471
-49.307807,3,7.227172
-60.65693,3,7.244591
-66.86754,4,7.266907
-65.407223,4,7.289012
-69.79469,4,7.311163
-44.292837,4,7.333263
-51.926625,3,7.349834
-44.366567,4,7.373317
-61.078137,6,7.411359
-47.76364,3,7.432529
-60.461397,3,7.449648
-54.144025,3,7.466416
-44.405559,4,7.488763
-71.37497,4,7.511406
-53.896207,3,7.52893
-60.0105,7,7.566417
-66.866862,3,7.584169
-47.6558,3,7.600276
-44.219552,5,7.628318
-76.389221,5,7.655897
-47.44088,3,7.672911
-38.167009,6,7.707206
-60.559133,3,7.723924
-60.380334,3,7.740586
-66.939306,3,7.757332
-46.814708,4,7.780302
-53.949689,3,7.797491
-64.355547,3,7.814226
-60.496112,3,7.831723
-39.515832,4,7.854
-64.834119,4,7.879353
-47.439694,3,7.896425
-60.587041,3,7.914075
-60.281218,3,7.931717
-67.064339,3,7.948272
-66.979828,3,7.966796
-57.922484,3,7.98352
-36.92475,6,8.017765
-63.400223,5,8.04608
-47.686082,3,8.06333
-47.061119,5,8.092452
-60.394542,3,8.109803
-47.655044,3,8.127427
-45.372519,4,8.148814
-60.407406,3,8.165458
-53.652479,4,8.187123
-71.010247,4,8.208928
-79.704189,3,8.226312
-68.118858,3,8.24467
-50.682124,4,8.268188
-54.140107,3,8.60299
