#{"t_start": 1765373842.5962071, "env_id": "None"}
r,l,t
-83.680918,4,0.58339
-83.036966,5,0.61202
-74.278757,3,0.629448
-83.507202,4,0.65512
-74.275599,3,0.670534
-74.280451,3,0.68676
-81.106717,4,0.714535
-78.297331,4,0.750197
-74.326621,3,0.784619
-74.704851,3,0.803176
-73.297387,3,0.82093
-82.896612,4,0.843207
-91.727756,6,0.880628
-83.85886,4,0.90541
-84.102182,4,1.050146
-69.963392,3,1.070391
-82.980421,4,1.093277
-82.919139,4,1.114016
-83.247083,4,1.136017
-83.285441,4,1.157824
-80.937068,4,1.180108
-74.661822,3,1.19702
-82.910112,4,1.219249
-87.54697,5,1.246985
-74.335508,3,1.263104
-84.119103,4,1.285151
-87.514243,5,1.31345
-89.714525,6,1.346938
-74.692642,3,1.363356
-72.201338,3,1.381291
-74.855401,3,1.398903
-81.036558,4,1.421135
-94.765255,6,1.455456
-74.333834,3,1.472094
-82.891517,4,1.491908
-72.646163,3,1.508617
-94.938847,7,1.546878
-94.726683,6,1.579885
-74.346402,3,1.596009
-74.740783,3,1.613201
-83.867835,4,1.635316
-87.592363,5,1.66281
-83.331316,4,1.683887
-74.850884,3,1.699768
-74.328501,3,1.716302
-81.109987,4,1.738623
-74.698166,3,1.756089
-74.695946,3,1.781914
-83.088117,4,1.806148
-73.550261,3,1.822065
-74.66392,3,1.839769
-71.215318,3,1.856169
-74.738644,3,1.87297
-74.657094,3,1.889516
-83.802386,4,1.909847
-84.129109,4,1.932169
-84.616528,4,1.953584
-77.059861,5,1.980513
