#{"t_start": 1764833065.329302, "env_id": "None"}
r,l,t
100.435322,9,0.667564
40.168327,6,0.673551
2.042006,4,0.677586
39.272052,6,0.683443
160.468888,12,0.694761
1.623112,4,0.698848
1.013361,4,0.702958
2.346453,4,0.706989
114.681436,10,0.716115
137.362894,11,0.726589
0.383382,4,0.730436
39.060157,6,0.73588
17.132369,5,0.740091
41.311904,6,0.745734
-1.199637,4,0.75071
1.22033,4,0.754611
1.141653,4,0.758553
0.685125,4,0.762323
0.565337,4,0.766102
15.558176,5,0.770438
-1.867656,4,0.774031
21.591433,5,0.778827
1.305044,4,0.782829
2.408155,4,0.787013
19.84324,5,0.791597
60.088671,7,0.798002
36.487123,6,0.803269
99.532073,9,0.811314
1.112448,4,0.815097
1.116664,4,0.818815
0.225573,4,0.82222
20.356507,5,0.826733
37.874194,6,0.832179
16.04791,5,0.836519
80.459075,8,0.844135
79.702249,8,0.851666
61.323322,7,0.858386
78.299011,8,0.865448
-0.135544,4,0.869166
40.246195,6,0.874522
1.350386,4,0.878505
18.952189,5,0.882912
41.178133,6,0.888889
119.923464,10,0.898282
1.705494,4,0.902394
96.66587,9,0.910554
2.20947,4,0.914529
39.90984,6,0.920019
0.458055,4,0.923514
1.140704,4,0.927105
1.348024,4,0.930864
2.089767,4,0.934749
40.748513,6,0.940361
0.172109,4,0.944073
99.350553,9,0.952169
20.898799,5,0.957013
21.583252,5,0.964168
41.193256,6,0.969785
34.895925,6,0.974929
2.73291,4,0.979002
21.835654,5,0.984202
101.193174,9,0.993269
20.311724,5,0.999424
78.834255,8,1.006804
61.058513,7,1.013735
99.453882,9,1.022392
19.199596,5,1.027115
18.002908,5,1.031708
2.675177,4,1.036908
1.821314,4,1.042864
39.704605,6,1.048776
21.263375,5,1.053849
1.883285,4,1.05799
1.101725,4,1.061961
0.981316,4,1.065991
38.986028,6,1.071568
21.018045,5,1.076405
21.200706,5,1.081344
2.391296,4,1.085596
19.776023,5,1.090488
0.780098,4,1.09444
79.223086,8,1.102241
60.927268,7,1.109374
118.407106,10,1.118986
99.91339,9,1.127671
21.077953,5,1.132609
0.993039,4,1.13671
41.820211,6,1.142734
21.635561,5,1.147777
1.328111,4,1.151815
0.764,4,1.155835
0.560826,4,1.159567
22.508759,5,1.164634
15.872839,5,1.16939
-16.903176,3,1.173524
21.159788,5,1.17901
0.994984,4,1.198932
40.768081,6,1.249267
1.720617,4,1.260331
40.606095,6,1.277964
1.199204,4,1.282663
99.497216,9,1.291747
17.500838,5,1.296714
20.43367,5,1.301857
59.782009,7,1.309081
0.774292,4,1.31317
19.195323,5,1.318285
40.990558,6,1.324401
0.340661,4,1.328743
20.811537,5,1.333816
37.817092,6,1.33946
37.592396,6,1.344999
17.134575,5,1.349672
21.662331,5,1.354862
34.040383,6,1.360556
38.429254,6,1.366298
60.81349,7,1.374001
62.042572,7,1.381506
1.729563,4,1.385752
-17.397256,3,1.38905
53.312576,7,1.395729
40.144223,6,1.401663
57.896495,7,1.408788
159.749637,12,1.421081
81.224512,8,1.429213
99.556828,9,1.438317
19.333731,5,1.443401
2.538838,4,1.448421
20.795308,5,1.454321
158.512568,12,1.466325
41.064718,6,1.472648
21.137552,5,1.477707
-0.676197,4,1.482148
1.683431,4,1.486274
80.224703,8,1.495154
21.220341,5,1.500248
0.569806,4,1.504162
197.78653,14,1.518287
20.433023,5,1.52339
0.646615,4,1.527377
2.562726,4,1.531756
1.209778,4,1.535923
1.624386,4,1.540106
1.125331,4,1.544533
20.802107,5,1.549732
-0.180842,4,1.553615
14.329895,5,1.558215
41.757788,6,1.564231
60.917635,7,1.57115
1.226184,4,1.575221
79.150613,8,1.583127
158.809964,12,1.594882
60.587575,7,1.601874
21.656977,5,1.607524
101.886086,9,1.617042
19.820035,5,1.622056
-0.061765,4,1.625793
36.321817,6,1.632016
178.598353,13,1.645079
1.278693,4,1.64914
19.632283,5,1.654083
20.664874,5,1.659091
120.188792,10,1.669673
39.720878,6,1.67555
39.908549,6,1.681464
40.435244,6,1.687643
20.562309,5,1.692637
40.926979,6,1.698825
119.978111,10,1.708769
19.957122,5,1.713549
21.55442,5,1.718657
1.160427,4,1.72281
0.818216,4,1.726783
93.924531,9,1.735149
-0.32184,4,1.739033
59.436883,7,1.745709
20.53853,5,1.75109
98.03683,9,1.760096
2.432422,4,1.76442
19.450041,5,1.76916
41.004679,6,1.775004
19.998508,5,1.779621
39.536732,6,1.78553
21.267752,5,1.790485
40.874854,6,1.796552
40.15418,6,1.802607
41.041066,6,1.808694
1.807967,4,1.812702
1.465277,4,1.819124
79.793699,8,1.826811
0.464788,4,1.830709
40.555781,6,1.836462
96.756195,9,1.844915
2.176107,4,1.849055
117.594374,10,1.858651
42.466956,6,1.864923
1.990281,4,1.869246
20.805385,5,1.874346
1.991111,4,1.878516
0.750773,4,1.882198
118.134163,10,1.891631
81.660632,8,1.899701
20.945621,5,1.904944
79.793045,8,1.913155
0.207458,4,1.917364
2.648194,4,1.921746
21.189828,5,1.926975
40.326279,6,1.933073
22.193539,5,1.938421
178.9665,13,1.951371
20.679829,5,1.956909
60.666631,7,1.964458
-0.88314,4,1.968588
20.051833,5,1.973724
80.226581,8,1.981925
19.450551,5,1.986968
3.057206,4,1.991236
0.420595,4,1.994956
21.392196,5,1.999919
80.560836,8,2.007884
119.905877,10,2.017632
1.378733,4,2.021526
18.673604,5,2.026038
0.577889,4,2.029887
60.031983,7,2.03736
-0.056587,4,2.041183
2.015037,4,2.045253
1.596058,4,2.049438
22.373629,5,2.054528
42.171189,6,2.060387
37.621526,6,2.065815
1.290936,4,2.069841
20.148793,5,2.074443
42.280662,6,2.080408
19.87561,5,2.085269
297.201228,15,2.099986
100.039971,9,2.109808
20.221189,5,2.114538
20.454125,5,2.119184
1.046394,4,2.122998
1.65694,4,2.126929
42.282145,6,2.132928
80.026637,8,2.140881
59.474539,7,2.147186
80.571368,8,2.156194
19.788234,5,2.16093
20.723838,5,2.166006
-17.205115,3,2.169262
1.133043,4,2.173352
18.345544,5,2.177884
1.425719,4,2.18185
20.315619,5,2.186647
20.852632,5,2.19155
18.855429,5,2.196297
20.990792,5,2.201714
1.194558,4,2.205829
39.702511,6,2.211419
-0.294966,4,2.218921
20.907071,5,2.224082
80.569464,8,2.232005
20.913444,5,2.23703
78.540306,8,2.245469
0.240834,4,2.250042
61.400896,7,2.257238
18.541512,5,2.261981
139.127961,11,2.27363
21.420423,5,2.278782
39.360599,6,2.284556
60.417213,7,2.291466
1.569119,4,2.295603
1.264583,4,2.29949
1.253871,4,2.304228
57.941638,7,2.311143
20.745773,5,2.316128
20.781749,5,2.321047
0.981397,4,2.324905
82.079252,8,2.333055
38.500923,6,2.338811
