#{"t_start": 1765380064.4414809, "env_id": "None"}
r,l,t
-42.254306,15,0.808845
46.737774,15,0.899753
-4.816913,15,0.984818
-21.686596,15,1.069405
-26.911352,11,1.131833
-13.551297,15,1.219927
-69.937934,8,1.265641
-54.051441,13,1.350712
-32.743089,14,1.431757
-75.731947,8,1.4761
-75.184316,8,1.521142
-43.122987,8,1.565802
-31.799813,12,1.634153
26.52063,15,1.717964
-58.072552,5,1.745866
-51.163527,11,1.808741
-105.152875,14,1.888711
45.888765,15,1.974817
15.423459,15,2.460249
-17.735099,15,2.545493
-5.703013,15,2.629976
-22.237559,8,2.675127
-33.609614,13,2.748945
35.978653,15,2.833696
-20.927861,10,2.89448
-68.483263,11,2.959432
-44.899762,13,3.036005
-99.5144,11,3.098094
-51.76081,9,3.15084
31.414394,15,3.252026
20.466878,15,3.343114
-35.37068,10,3.400262
26.376392,15,3.487759
-46.037971,6,3.52181
-46.695327,11,3.583441
-31.425777,6,3.619711
-66.318643,12,3.687816
-78.337219,6,3.722407
-89.505695,11,4.084678
-40.144032,8,4.129
-21.848244,14,4.209254
-51.172658,7,4.248576
-41.762398,10,4.305475
-30.430173,15,4.39074
27.577254,15,4.476063
-62.524054,10,4.532035
-22.349553,6,4.564694
27.504117,15,4.651063
-35.179081,7,4.691232
-9.395062,9,4.741404
-38.942133,5,4.769407
-31.324376,15,4.858132
-19.44173,15,4.943792
0.306974,15,5.031083
-44.639622,7,5.072058
-5.526777,15,5.157812
-44.04542,13,5.232622
31.729064,15,5.318237
17.089678,15,5.738445
-51.886061,10,5.81843
-70.201799,12,5.961188
-41.625064,7,6.006032
-20.958585,9,6.058278
-13.987112,10,6.115424
-36.529468,9,6.167628
-11.910398,13,6.2415
-43.035255,10,6.299685
-7.182934,11,6.362615
-10.86181,9,6.414316
48.872945,15,6.509883
-19.58717,11,6.574988
-39.753392,11,6.637699
33.340736,15,6.726076
-26.713569,9,6.778352
24.61463,15,6.865698
-34.513713,8,6.910548
-2.78042,15,6.995851
51.746955,15,7.405802
15.404451,15,7.489899
-40.326241,15,7.57458
-86.404572,8,7.630052
14.033321,15,7.720144
20.955907,15,7.803705
-53.527026,15,7.8915
-31.290946,7,7.930393
-47.43127,7,7.968827
-4.932616,15,8.054106
-28.734077,14,8.132692
-16.695877,12,8.203289
7.077113,15,8.288078
33.611835,15,8.373667
-25.093624,7,8.411698
-32.307642,9,8.460914
-27.202154,13,8.536935
27.001229,15,8.624093
26.47035,15,9.013601
-56.750871,7,9.054257
-4.780196,15,9.143655
-51.616726,7,9.183003
-15.247812,15,9.269425
5.56226,15,9.353425
39.535685,15,9.437939
-23.796335,6,9.472045
-4.169696,15,9.556563
25.977471,15,9.642727
-31.830549,15,9.728649
5.786974,15,9.815047
27.613169,15,9.90167
24.698206,15,9.988196
32.260371,15,10.074219
-28.31088,10,10.131957
-28.841285,13,10.207558
-19.885107,14,10.582636
-25.154184,15,10.666893
22.78824,15,10.752317
-6.979924,8,10.797005
45.213529,15,10.882335
12.452598,15,10.977194
9.324773,15,11.072498
-14.797378,14,11.154321
-28.57842,10,11.211308
-1.784883,15,11.296164
-40.579225,10,11.352917
50.978146,15,11.441604
40.859192,15,11.528791
9.184493,15,11.615243
5.240439,15,11.700891
19.345362,15,11.78962
-28.905805,10,11.847765
-19.008884,15,12.232776
11.302614,15,12.316987
37.297896,15,12.40312
11.804591,15,12.490593
37.664913,15,12.576278
-15.366559,13,12.650357
-30.843315,13,12.724044
-47.00304,9,12.77451
11.562772,15,12.861671
45.077806,15,12.947631
1.183103,15,13.034207
36.616884,15,13.119916
23.290648,15,13.207343
8.583478,15,13.293073
-45.05148,9,13.342838
45.366085,15,13.428636
-57.626211,8,13.777247
-23.944198,12,13.844076
36.645895,15,13.929388
32.199839,15,14.014429
14.998927,15,14.100372
26.000323,15,14.185435
-1.437361,13,14.259674
16.595008,15,14.348925
36.280362,15,14.434942
34.808197,15,14.521184
-49.004811,9,14.571813
1.399845,13,14.646794
-4.479243,15,14.732372
36.491934,15,14.817978
-8.012604,15,14.904402
-0.95993,12,14.972577
28.775753,15,15.355577
8.212194,15,15.441998
8.400769,15,15.527755
35.99002,15,15.61494
21.917135,15,15.702145
-9.712822,7,15.74226
23.667169,15,15.82826
22.923452,15,15.913747
-26.492871,7,15.953236
49.719194,15,16.039448
-1.707523,10,16.096781
40.463869,15,16.18354
-26.266661,9,16.235412
17.871524,15,16.319623
-10.500719,7,16.360785
23.018671,15,16.451253
34.473366,15,16.539302
12.932221,15,16.625108
33.487848,15,17.014078
26.349606,15,17.102064
-20.831391,8,17.148754
30.158588,15,17.235749
24.357209,15,17.326202
47.494381,15,17.461739
-9.809132,13,17.544427
22.37765,15,17.640272
30.78719,15,17.737918
-18.720979,8,17.789462
36.049122,15,18.054334
28.568142,15,18.15579
8.472671,15,18.26472
38.617985,15,18.366313
45.108586,15,18.455216
28.734398,15,18.543645
0.465182,14,18.95172
31.998999,15,19.046057
-24.841579,12,19.11765
43.607028,15,19.207174
40.543222,15,19.297924
27.064429,15,19.558478
-12.183557,10,19.76585
38.739101,15,19.973627
-12.239657,8,20.087598
21.642313,15,20.18615
12.065496,15,20.278634
28.080572,15,20.368134
-23.827379,9,20.419184
43.620514,15,20.505409
35.357822,15,20.59376
32.482002,15,20.680557
40.621378,15,21.076767
11.623972,15,21.163914
28.438048,15,21.25149
48.757627,15,21.338337
23.116056,15,21.426204
34.636563,15,21.510848
40.675646,15,21.596494
8.66459,15,21.68165
35.477095,15,21.766188
38.872873,15,21.851892
-19.278581,6,21.886119
46.019162,15,21.974724
-9.109975,11,22.037177
51.056586,15,22.123537
26.688269,15,22.212434
46.491143,15,22.303447
49.518595,15,22.691943
-16.741708,7,22.732456
27.821433,15,22.819321
47.141978,15,22.906257
32.555413,15,22.993205
-18.296706,14,23.073921
32.733172,15,23.160621
3.055246,12,23.230488
32.708021,15,23.31843
44.568329,15,23.405705
37.13613,15,23.495598
40.632906,15,23.582237
21.465923,15,23.669012
36.438831,15,23.755776
39.531512,15,23.842259
28.169488,15,23.92994
18.554282,15,24.348259
39.881046,15,24.434621
33.708415,15,24.520293
45.368216,15,24.608144
39.509856,15,24.693145
43.313183,15,24.778331
43.297987,15,24.863002
42.778898,15,24.947726
28.140844,15,25.032853
49.148974,15,25.117959
22.383592,15,25.202655
31.496523,15,25.288201
36.615532,15,25.373255
33.349321,15,25.459318
37.196715,15,25.547371
31.761383,15,25.928696
37.363792,15,26.014476
46.993271,15,26.103292
34.365221,15,26.192803
40.285382,15,26.284578
36.89492,15,26.37227
27.612506,15,26.458746
33.826174,15,26.54492
51.400404,15,26.630745
37.233114,15,26.716827
54.213238,15,26.802833
47.868082,15,26.888628
49.985916,15,26.974753
36.293438,15,27.060002
51.500838,15,27.145392
46.846952,15,27.539361
44.799282,15,27.626238
41.369107,15,27.712783
39.036122,15,27.799627
50.963184,15,27.885654
29.733589,15,27.971773
44.789253,15,28.057634
34.691471,15,28.180878
45.18104,15,28.4741
29.968691,15,28.637377
52.004509,15,28.72491
48.812464,15,28.811524
48.814364,15,28.898158
31.347407,15,28.98515
33.825829,15,29.070734
37.349215,15,29.467461
47.512463,15,29.562905
51.988579,15,29.65896
37.310863,15,29.7598
31.143458,15,29.848531
52.883721,15,29.936835
37.74537,15,30.023786
44.672907,15,30.110632
48.199107,15,30.197282
40.926529,15,30.285531
48.795422,15,30.373651
41.067136,15,30.461087
15.152769,15,30.54851
42.44299,15,30.636093
37.452982,15,30.732591
44.358065,15,31.152172
51.448654,15,31.241224
50.128883,15,31.333639
41.961246,15,31.422737
56.318316,15,31.510406
38.139961,15,31.598107
51.221676,15,31.685195
48.533922,15,31.77234
46.74421,15,31.859578
53.50435,15,31.94733
48.757868,15,32.034479
34.109817,15,32.120757
44.509795,15,32.20773
52.365164,15,32.294167
44.498278,15,32.381211
47.998996,15,32.76732
30.928025,15,32.854803
29.926469,15,32.941703
47.930994,15,33.028208
52.051317,15,33.115159
45.398082,15,33.201961
46.713867,15,33.288619
50.250122,15,33.375196
50.040654,15,33.461895
56.004147,15,33.550165
36.881485,15,33.642937
51.025715,15,33.736462
37.476444,15,33.828365
42.206464,15,33.91981
45.007997,15,34.009486
47.790283,15,34.653167
