#{"t_start": 1765375820.1104121, "env_id": "None"}
r,l,t
-66.939795,3,0.558047
-64.178238,4,0.58018
-47.160711,3,0.597515
-84.085975,4,0.619963
-38.03168,5,0.652296
-55.433003,6,0.686209
-51.493948,4,0.709025
-47.705755,3,0.726228
-40.805854,10,0.783192
-110.254261,4,0.805008
-71.515016,4,0.827911
-79.786828,6,0.864145
-57.213351,4,0.887248
-51.516161,4,0.907858
-51.549824,4,0.931459
-46.089636,3,0.947838
-47.658824,3,0.963894
-47.674915,3,0.980739
-74.769122,4,1.003973
-77.512381,6,1.035907
-43.37306,5,1.064539
-50.397685,9,1.11501
-55.011583,6,1.146177
-66.869244,3,1.162446
-47.650827,3,1.179722
-48.426144,5,1.210969
-52.389162,7,1.252647
-60.257003,3,1.27073
-83.857636,4,1.294692
-84.033579,4,1.318126
-96.982518,4,1.340567
-60.001243,3,1.358798
-57.102142,5,1.388076
-64.967652,4,1.410897
-66.95132,3,1.428695
-64.656048,6,1.464404
-79.513039,3,1.482389
-47.43873,3,1.512458
-83.957552,4,1.534375
-46.778973,4,1.555213
-70.973018,4,1.578141
-53.912356,7,1.615394
-76.213915,5,1.643623
-45.731157,4,1.666153
-47.086379,4,1.68985
-56.888606,5,1.718544
-45.091726,4,1.739334
-69.915506,4,1.759676
-47.461183,3,1.776864
-82.705751,4,1.799146
-63.504481,4,1.821464
-47.639066,3,2.232811
-60.426753,3,2.250585
-89.060634,4,2.275431
-56.924002,5,2.301999
-73.841153,5,2.331078
-44.304846,5,2.358857
-51.560339,4,2.380102
-51.912872,4,2.401188
-51.741721,3,2.417913
-45.854985,6,2.450678
-79.495336,3,2.467383
-44.317896,4,2.49059
-66.87687,3,2.507432
-79.518193,3,2.523574
-63.589661,5,2.552722
-79.669532,3,2.570053
-57.000619,5,2.598335
-47.624748,3,2.614116
-71.548553,4,2.636828
-47.713265,3,2.652636
-66.946104,3,2.669584
-66.745943,3,2.689838
-82.859828,4,2.71321
-79.438285,3,2.729944
-57.928023,4,2.750798
-66.902216,3,2.768545
-71.481856,4,2.790103
-47.485062,3,2.807325
-47.662518,3,2.824871
-45.345431,4,2.84748
-73.017568,8,2.893748
-45.342309,4,2.916305
-57.751667,4,2.938119
-51.549423,4,2.959669
-47.475601,3,2.977737
-58.281423,4,3.000026
-96.947217,4,3.021564
-53.852335,3,3.039302
-44.278565,4,3.062445
-58.377305,4,3.084744
-51.406272,4,3.106883
-67.952864,6,3.138663
-82.721922,4,3.160224
-126.106023,6,3.193528
-110.219507,4,3.214422
-83.918278,4,3.235637
-60.443564,3,3.252865
-60.448838,3,3.270529
-90.281685,4,3.29164
-44.057602,5,3.320456
-60.486454,3,3.337532
-76.054052,5,3.366124
-61.55401,6,3.399355
-47.701231,3,3.417326
-79.479357,3,3.43534
-66.706153,3,3.451835
-47.43378,3,3.468823
-63.242083,5,3.815209
-47.518053,3,3.83287
-60.447617,3,3.849391
-50.569189,5,3.878964
-79.686435,3,3.896527
-57.166562,4,3.917934
-41.856034,4,3.940229
-57.012459,5,3.969459
-79.632032,3,3.986777
-55.152979,7,4.026115
-58.664105,4,4.049854
-47.462399,6,4.083007
-79.532142,3,4.099517
-47.515429,7,4.137477
-60.518419,3,4.155122
-44.349443,4,4.176767
-67.714074,6,4.21007
-60.516851,3,4.226833
-61.202619,3,4.244452
-51.882186,4,4.266761
-52.913279,4,4.2878
-47.674286,3,4.305503
-44.366256,4,4.328242
-51.74534,4,4.349992
-56.372681,5,4.379057
-60.447391,3,4.396117
-89.139514,4,4.418659
-47.607175,3,4.436425
-47.704396,3,4.454214
-47.601697,3,4.470899
-70.99911,4,4.493917
-63.529885,5,4.521863
-54.076007,3,4.539156
-57.179318,5,4.5681
-89.163072,4,4.590561
-63.395729,5,4.620329
-60.235267,3,4.636353
-60.556608,3,4.653951
-60.357223,3,4.671216
-60.46825,3,4.687633
-69.571943,6,4.726663
-50.640125,5,4.755213
-64.669862,4,4.776941
-51.975318,4,4.799428
-47.771079,3,4.816045
-60.518274,3,4.833263
-57.076913,5,4.861889
-47.432768,3,4.880208
-47.467584,3,4.897075
-66.751815,3,4.914253
-66.83873,3,4.930785
-60.501785,3,4.947814
-47.455118,3,4.964653
-71.33999,4,4.988851
-57.328082,5,5.016201
-47.740903,3,5.032707
-63.020206,3,5.050557
-50.444746,5,5.078543
-71.308901,4,5.418261
-50.735207,4,5.441004
-63.546373,5,5.470069
-60.421515,3,5.487934
-47.64528,3,5.504653
-50.797069,4,5.526674
-50.460796,5,5.553796
-82.643306,4,5.576434
-47.744101,3,5.593816
-50.717305,4,5.615985
-44.305052,4,5.637318
-50.708218,4,5.659682
-56.838213,5,5.68644
-52.674203,3,5.705048
-50.753486,4,5.726645
-60.411592,3,5.749234
-79.649006,3,5.766047
-92.888532,4,5.78878
-51.711397,4,5.810849
-64.99022,4,5.831971
-51.739781,4,5.853787
-79.476274,3,5.870161
-47.739678,3,5.887443
-72.945518,4,5.909726
-47.669906,3,5.926932
-47.379866,6,5.960318
-66.929754,3,5.977403
-66.931024,3,5.994377
-66.846301,3,6.010244
-67.013044,3,6.026977
-60.264785,3,6.0438
-47.738937,3,6.059985
-45.390136,4,6.082608
-54.086625,3,6.10031
-58.164084,4,6.121039
-54.104316,3,6.138196
-63.38134,5,6.168471
-44.071731,5,6.197401
-44.065784,5,6.225984
-69.992175,4,6.248703
-47.588405,3,6.265029
-54.180083,3,6.281984
-60.403791,3,6.299547
-45.539466,4,6.322373
-66.904545,3,6.338725
-42.892987,6,6.371567
-63.515721,4,6.394507
-58.326885,3,6.410485
-64.499207,3,6.427353
-56.672855,5,6.454579
-41.554435,6,6.487161
-50.635115,6,6.520219
-95.143235,4,6.542845
-47.60975,3,6.560871
-53.540375,6,6.596378
-44.083648,5,6.624573
-60.451769,3,6.644083
-60.451365,3,6.662124
-66.421315,4,7.00123
-60.475401,3,7.018569
-57.009054,5,7.046448
-79.780663,3,7.063117
-46.048808,4,7.084509
-47.676101,3,7.101247
-51.762508,4,7.123272
-59.994454,7,7.163332
-79.81651,3,7.180215
-44.415159,8,7.227108
-54.063789,3,7.244633
-41.159843,6,7.277789
-47.644657,3,7.294565
-47.627116,6,7.327639
-65.315647,4,7.349486
-47.746228,3,7.367138
-56.743514,5,7.396692
-76.347482,5,7.432697
-64.36598,5,7.460393
-57.101073,5,7.488867
-58.250792,3,7.50538
-57.172174,4,7.528744
-69.933249,4,7.550449
-60.476787,3,7.566555
-47.713882,4,7.589222
-63.611917,4,7.610997
-60.531957,6,7.644811
-66.918464,3,7.661849
-53.884067,3,7.678401
-54.097385,3,7.695847
-45.009785,4,7.718126
-66.956486,3,7.735094
-54.112083,3,7.751292
-47.560188,3,7.769022
-57.034975,5,7.797634
-66.571304,3,7.814359
-63.523509,4,7.836984
-47.494598,3,7.856579
-45.334951,4,7.878934
-40.733219,4,7.901803
-60.654853,3,7.920138
-45.015379,4,7.942079
-47.694338,3,7.960548
-44.490704,5,7.989332
-60.489007,3,8.006977
-66.920126,3,8.023798
-56.879876,5,8.051961
-60.561171,3,8.069033
-60.827159,3,8.086213
-47.766001,3,8.104219
-60.384864,3,8.12152
-42.253596,7,8.159906
-60.378066,3,8.17627
-64.436966,4,8.197611
-44.183047,5,8.22649
-47.660498,3,8.244857
-40.305964,4,8.268354
-49.798566,4,8.608555
-60.558389,3,8.62436
-54.498368,6,8.658156
-42.210347,6,8.691559
-60.555228,3,8.708855
-64.928077,4,8.731942
-47.485305,3,8.748037
-89.258947,4,8.77046
-41.42759,6,8.804814
-47.363039,6,8.841477
-46.667424,3,8.859349
-64.7249,4,8.882255
-71.276337,4,8.905253
-73.036463,7,8.944725
-60.42677,3,8.961481
-45.365271,3,8.978618
-66.717986,3,8.994328
-60.423734,3,9.010684
-70.733439,3,9.028479
-60.520396,3,9.04574
-47.664807,3,9.063599
-46.195946,4,9.085745
-47.616792,3,9.102331
-46.406,3,9.119337
-41.072301,6,9.153683
-47.658529,3,9.170635
-51.835955,4,9.193179
-51.816677,4,9.215725
-43.68691,7,9.253543
-54.314058,10,9.310656
-65.258878,4,9.333104
-66.972914,3,9.349451
-60.611257,3,9.366534
-66.697465,3,9.383774
